Name,filters passed,NSE,BSE,Sector,epsQ,epsQ%,salesQ,salesQ%,ATPMQ,ATPQ,epsA,epsA%,ROE,DEratio
Lincoln Pharma,4,,531633,pharmaceuticals,"[3.73, 1.17, 1.72, 3.81, 2.36, 0.35, 2.35, 2.16, 2.15, 1.95]","[58.0, 234.0, -27.0, 76.0, 10.0, -82.0]","[58.44, 62.29, 56.7, 57.9, 46.37, 61.86, 51.17, 54.33, 37.43, 58.62]","[26.0, 1.0, 11.0, 7.0, 24.0, 6.0]","[10.0, 3.0, 5.0, 11.0, 8.0, 1.0, 7.0, 6.0, 9.0, 5.0]","[6.08, 1.91, 2.8, 6.21, 3.85, 0.58, 3.83, 3.52, 3.5, 3.18]","[9.06, 7.0, 6.02, 3.01, 4.41]","[29.0, 16.0, 100.0, -32.0]",13.26,"[0.51, 0.65, 0.65]"
Lords Chemicals,4,,530039,chemicals,"[3.83, 3.83, 1.0, 2.1, 0.55, 0.78, 0.84, 0.56, 0.57, 0.65]","[596.0, 391.0, 19.0, 275.0, -4.0, 20.0]","[33.21, 32.32, 30.07, 51.53, 16.18, 15.5, 16.46, 14.59, 6.96, 11.63]","[105.0, 109.0, 83.0, 253.0, 132.0, 33.0]","[15.0, 15.0, 4.0, 2.0, 2.0, 2.0, 6.0, 2.0, 3.0, 2.0]","[5.09, 4.81, 1.25, 0.85, 0.31, 0.33, 1.06, 0.23, 0.22, 0.26]","[2.06, 2.17, None, None, None]",[-5.0],-1.0,"[0.09, 2.45, 2.29]"
Loyal Textiles,4,,514036,textilescompositemills,"[7.59, 23.08, 1.91, 0.95, 5.19, 13.04, 9.0, 8.83, 10.04, 1.44]","[46.0, 77.0, -79.0, -89.0, -48.0, 806.0]","[288.44, 343.9, 332.25, 327.47, 327.32, 365.29, 393.54, 445.57, 368.04, 398.27]","[-12.0, -6.0, -16.0, -27.0, -11.0, -8.0]","[1.0, 3.0, 0.0, 0.0, 1.0, 2.0, 1.0, 1.0, 1.0, 0.0]","[3.66, 11.12, 0.93, 0.45, 2.5, 6.28, 4.34, 4.25, 4.84, 0.69]","[31.13, 40.91, 10.46, -4.03, 65.12]","[-24.0, 291.0, 360.0, -106.0]",-1.0,"[4.08, 5.41, 6.12]"
Lyka Labs,4,LYKALABS,500259,pharmaceuticals,"[0.1, -0.18, -3.19, 3.84, -3.51, -8.51, -4.2, -1.64, -1.51, 0.38]","[103.0, 98.0, 24.0, 334.0, -132.0, -2339.0]","[25.04, 17.94, 22.02, 18.07, 14.41, 21.74, 12.19, 16.66, 15.58, 23.45]","[74.0, -17.0, 81.0, 8.0, -8.0, -7.0]","[1.0, -2.0, -31.0, 46.0, -52.0, -84.0, -74.0, -21.0, -21.0, 3.0]","[0.25, -0.35, -6.85, 8.32, -7.51, -18.37, -9.07, -3.54, -3.27, 0.82]","[0.58, -15.87, -1.3, None, 0.88]","[104.0, -1121.0]",2.42,"[1.74, 1.65, 1.38]"
Lyons Corporate,4,,531441,financeleasinghirepurchase,"[0.05, 0.03, 0.04, 0.02, 0.04, 0.02, 0.11, None, 0.1, 0.09]","[25.0, 50.0, -64.0]","[0.04, 0.04, 0.06, 0.03, 0.03, 0.03, 0.07, 0.02, 0.06, 0.06]","[33.0, 33.0, -14.0, 50.0, -50.0, -50.0]","[50.0, 50.0, 33.0, 33.0, 67.0, 33.0, 71.0, 0.0, 83.0, 67.0]","[0.02, 0.02, 0.02, 0.01, 0.02, 0.01, 0.05, 0.0, 0.05, 0.04]","[0.12, 0.19, 0.82, -0.22, None]","[-37.0, -77.0, 473.0]",1.44,[]
Makers Labs,4,,506919,pharmaceuticals,"[2.68, 0.61, 1.35, 1.69, 1.14, -0.94, -0.36, 1.73, 0.78, 2.05]","[135.0, 165.0, 475.0, -2.0, 46.0, -146.0]","[17.39, 13.81, 15.05, 18.91, 16.93, 16.52, 14.24, 20.87, 16.7, 16.3]","[3.0, -16.0, 6.0, -9.0, 1.0, 1.0]","[8.0, 2.0, 4.0, 4.0, 3.0, -3.0, -1.0, 4.0, 2.0, 6.0]","[1.32, 0.3, 0.66, 0.83, 0.56, -0.46, -0.18, 0.85, 0.38, 1.01]","[3.33, 1.21, 4.97, -1.16, 7.03]","[175.0, -76.0, 528.0, -117.0]",9.54,"[0.03, 0.09, 0.2]"
Maruti Suzuki,4,MARUTI,532500,autocarsjeeps,"[39.49, 42.51, 26.55, 28.55, 25.23, 26.48, 22.55, 22.19, 20.91, 41.04]","[57.0, 61.0, 18.0, 29.0, 21.0, -35.0]","[13078.32, 13272.55, 12263.14, 11996.33, 11073.51, 11818.13, 10619.68, 10211.83, 9995.12, 13056.26]","[18.0, 12.0, 15.0, 17.0, 11.0, -9.0]","[9.0, 10.0, 7.0, 7.0, 7.0, 7.0, 6.0, 7.0, 6.0, 9.0]","[1192.92, 1284.24, 802.16, 862.54, 762.28, 800.05, 681.15, 670.23, 631.61, 1239.62]","[122.85, 92.13, 79.19, 56.6, 79.22]","[33.0, 16.0, 40.0, -29.0]",17.69,"[0.01, 0.08, 0.07]"
Matru-Smriti,4,,512165,miscellaneous,"[1.43, 7.95, 0.02, -0.05, -0.24, -0.11, -0.05, 0.24, 0.19, 1.99]","[696.0, 7327.0, 140.0, -121.0, -226.0, -106.0]","[None, None, None, None, None, None, None, None, None, 0.27]",[-1],[],"[0.08, 0.43, 0.0, 0.0, -0.01, -0.01, 0.0, 0.01, 0.01, 0.08]","[7.57, 0.14, -1.13, -3.71, 0.14]","[5307.0, 112.0, 70.0, -2750.0]",-1.0,[]
Mauria Udyog,4,,539219,miscellaneous,"[2.53, 0.8, 3.14, 2.33, 1.45, 1.35, None, 2.52, 1.87, 2.79]","[74.0, -41.0]","[231.27, 304.84, 302.87, 238.15, 162.05, 209.19, 149.66, 190.49, 218.9, 226.51]","[43.0, 46.0, 102.0, 25.0, -26.0, -8.0]","[1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 2.0]","[3.37, 1.07, 4.18, 3.1, 1.93, 1.8, 1.91, 3.35, 2.5, 3.59]","[None, 7.18, 9.17, 20.62, 17.71]",[],-1.0,"[3.23, 3.74, 3.83]"
Meghmani Organi,4,MEGH,532865,pesticidesagrochemicals,"[0.25, 0.06, 0.17, 0.78, 0.02, -0.39, 0.31, 0.37, -0.07, 0.13]","[1150.0, 115.0]","[243.52, 201.82, 223.78, 275.82, 220.47, 221.42, 237.79, 194.72, 192.27, 174.27]","[10.0, -9.0]","[3.0, 1.0, 2.0, 7.0, 0.0, -5.0, 3.0, 5.0, -1.0, 2.0]","[6.31, 1.46, 4.39, 19.91, 0.46, -10.32, 7.85, 9.29, -2.77, 3.34]","[1.03, 0.47, 0.26, 0.65, 1.87]","[119.0, 81.0, -60.0, -65.0]",4.63,"[0.58, 0.69, 0.67]"
Melstar Info,4,MELSTAR,532307,computerssoftwaremediumsmall,"[0.05, -0.21, 0.19, -0.9, -0.23, -0.35, -1.06, -0.03, -0.24, -0.18]","[122.0, 40.0, 118.0, -2900.0, 4.0, -94.0]","[6.98, 6.68, 5.56, 5.32, 4.81, 4.48, 4.2, 4.52, 5.02, 4.79]","[45.0, 49.0, 32.0, 18.0, -4.0, -6.0]","[1.0, -4.0, 4.0, -24.0, -7.0, -11.0, -36.0, -1.0, -7.0, -5.0]","[0.07, -0.3, 0.25, -1.28, -0.32, -0.5, -1.52, -0.05, -0.35, -0.25]","[-1.16, -1.68, -1.01, 1.02, 1.02]",[],-21.21,"[0.82, 0.43, 0.12]"
Menon Bearings,4,MENONBE,523828,bearings,"[0.64, 3.8, 2.86, 3.3, 2.4, 2.3, 1.69, 1.53, 0.94, 0.32]","[-73.0, 65.0, 69.0, 116.0, 155.0, 619.0]","[26.66, 26.16, 24.87, 27.58, 23.92, 24.12, 19.72, 21.62, 21.0, 20.2]","[11.0, 8.0, 26.0, 28.0, 14.0, 19.0]","[11.0, 14.0, 11.0, 11.0, 9.0, 9.0, 8.0, 7.0, 4.0, 1.0]","[3.01, 3.55, 2.67, 3.08, 2.24, 2.15, 1.57, 1.43, 0.88, 0.3]","[12.36, 6.61, 3.96, 7.93, 6.83]","[87.0, 67.0, -50.0, 16.0]",27.04,"[0.39, 0.55, 0.77]"
Menon Pistons,4,,531727,autoancillaries,"[3.89, 2.2, 2.17, 4.7, 2.14, 0.86, 1.06, 1.06, 0.6, 0.1]","[82.0, 156.0, 105.0, 343.0, 257.0, 760.0]","[37.41, 37.28, 34.46, 40.02, 32.59, 35.65, 32.95, 39.03, 34.39, 34.46]","[15.0, 5.0, 5.0, 3.0, -5.0, 3.0]","[5.0, 3.0, 3.0, 6.0, 3.0, 1.0, 2.0, 1.0, 1.0, 0.0]","[1.98, 1.12, 1.11, 2.4, 1.09, 0.44, 0.54, 0.54, 0.3, 0.05]","[11.21, 3.58, None, 19.64, 17.2]",[213.0],-1.0,"[0.42, 0.47, 0.64]"
Metropoli Overs,4,,514456,miscellaneous,"[0.16, 0.08, -0.31, -0.55, -0.45, -0.53, -0.13, -0.26, -0.09, -0.26]","[136.0, 115.0, -138.0, -112.0, -400.0, -104.0]","[3.04, 2.27, 3.2, 3.0, 3.87, 4.46, 4.49, 4.13, 6.97, 6.94]","[-21.0, -49.0, -29.0, -27.0, -44.0, -36.0]","[6.0, 4.0, -9.0, -22.0, -14.0, -15.0, -4.0, -8.0, -2.0, -5.0]","[0.19, 0.1, -0.29, -0.65, -0.54, -0.66, -0.16, -0.31, -0.11, -0.33]","[-1.23, -1.01, -0.05, -0.65, -0.79]",[],-1.0,[]
MIC Electronics,4,MIC,532850,telecommunicationsequipment,"[0.63, 1.17, -0.38, -0.47, -0.29, -1.73, -3.11, None, -1.45, -0.03]","[317.0, 168.0, 88.0]","[47.33, 44.38, 39.63, 35.72, 36.19, 30.91, 30.38, 25.71, 29.41, 20.68]","[31.0, 44.0, 30.0, 39.0, 23.0, 49.0]","[16.0, 31.0, -10.0, -14.0, -8.0, -58.0, -105.0, 0.0, -50.0, -1.0]","[7.54, 13.88, -3.87, -4.85, -2.96, -17.78, -31.91, 0.05, -14.82, -0.28]","[0.18, 3.91, 5.17, None, None]","[-95.0, -24.0]",-1.0,"[0.32, 0.36, 0.36]"
Mirza Intl,4,MIRZAINT,526642,leatherproducts,"[1.94, 1.33, 1.68, 1.46, 1.05, 0.87, 1.17, 1.79, 0.85, 1.21]","[85.0, 53.0, 44.0, -18.0, 24.0, -28.0]","[249.58, 217.66, 229.54, 259.68, 211.46, 169.49, 172.53, 201.42, 157.27, 157.82]","[18.0, 28.0, 33.0, 29.0, 34.0, 7.0]","[7.0, 6.0, 7.0, 5.0, 5.0, 5.0, 6.0, 8.0, 5.0, 7.0]","[18.02, 12.34, 15.53, 13.54, 9.75, 8.02, 10.88, 16.64, 7.84, 11.17]","[5.52, 4.68, 4.69, 3.26, 3.83]","[18.0, -0.0, 44.0, -15.0]",16.37,"[0.59, 0.66, 0.61]"
Mold-Tek Pack,4,MOLDTKPAC,533080,plastics,"[4.13, 3.52, 3.86, 4.02, 3.4, 1.91, 2.22, 2.33, 1.59, 0.29]","[21.0, 84.0, 74.0, 73.0, 114.0, 559.0]","[73.72, 60.15, 71.93, 79.12, 74.79, 68.96, 63.4, 65.92, 56.85, 49.09]","[-1.0, -13.0, 13.0, 20.0, 32.0, 40.0]","[8.0, 7.0, 6.0, 6.0, 5.0, 3.0, 4.0, 4.0, 3.0, 1.0]","[5.71, 4.13, 4.37, 4.54, 3.83, 2.15, 2.5, 2.63, 1.79, 0.32]","[14.4, 8.58, 5.14, None, None]","[68.0, 67.0]",14.59,"[1.25, 1.35, 1.11]"
Motherson Sumi,4,MOTHERSUMI,517334,autoancillaries,"[1.8, 1.66, 1.29, 1.64, 1.25, 2.41, 1.4, 2.01, 1.37, 3.05]","[44.0, -31.0, -8.0, -18.0, -9.0, -21.0]","[1215.94, 1252.41, 1219.32, 1246.74, 1201.36, 1223.26, 1086.19, 1101.56, 1062.76, 1208.21]","[1.0, 2.0, 12.0, 13.0, 13.0, 1.0]","[13.0, 12.0, 9.0, 12.0, 9.0, 17.0, 11.0, 11.0, 8.0, 15.0]","[158.63, 146.14, 113.79, 144.57, 110.36, 212.49, 123.67, 118.17, 80.8, 179.18]","[5.84, 6.07, 7.99, 8.09, 7.45]","[-4.0, -24.0, -1.0, 9.0]",24.61,"[0.2, 0.33, 0.52]"
My Fair Lady,4,,526622,personalcare,"[0.17, 0.03, 0.06, 0.06, 0.05, 0.02, 0.06, 0.05, 0.06, -0.12]","[240.0, 50.0, 0.0, 20.0, -17.0, 117.0]","[58.06, 33.61, 30.77, 33.0, 29.43, 28.01, 30.62, 26.66, 25.28, 22.52]","[97.0, 20.0, 0.0, 24.0, 16.0, 24.0]","[1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, -2.0]","[0.61, 0.13, 0.23, 0.21, 0.19, 0.07, 0.22, 0.17, 0.21, -0.45]","[0.21, 0.19, 0.06, 0.15, 0.01]","[11.0, 217.0, -60.0, 1400.0]",2.2,"[0.45, 0.53, 0.36]"
