Name,filters passed,NSE,BSE,Sector,epsQ,epsQ%,salesQ,salesQ%,ATPMQ,ATPQ,epsA,epsA%,ROE,DEratio
Avanti Feeds,7,AVANTIFEED,512573,aquaculture,"[50.33, 24.52, 37.99, 37.63, 28.21, 15.96, 24.71, 20.45, 15.66, 7.28]","[78.0, 54.0, 54.0, 84.0, 80.0, 119.0]","[597.45, 378.41, 381.75, 525.66, 472.88, 273.93, 274.43, 297.94, 266.32, 156.2]","[26.0, 38.0, 39.0, 76.0, 78.0, 75.0]","[8.0, 6.0, 9.0, 7.0, 5.0, 5.0, 8.0, 6.0, 5.0, 4.0]","[45.71, 22.27, 34.5, 34.18, 25.62, 14.5, 22.44, 18.58, 14.23, 6.61]","[128.35, 76.79, 33.24, 34.35, 4.27]","[67.0, 131.0, -3.0, 704.0]",44.83,"[0.21, 0.31, 0.49]"
Caplin Labs,7,CAPLIPOINT,524742,pharmaceuticals,"[8.4, 7.01, 6.03, 5.64, 4.58, 4.54, 5.33, 2.51, 1.05, 2.43]","[83.0, 54.0, 13.0, 125.0, 336.0, 87.0]","[67.55, 60.92, 57.46, 54.38, 45.93, 41.39, 40.85, 39.76, 35.93, 29.11]","[47.0, 47.0, 41.0, 37.0, 28.0, 42.0]","[19.0, 17.0, 16.0, 16.0, 15.0, 17.0, 20.0, 10.0, 4.0, 13.0]","[12.7, 10.6, 9.11, 8.53, 6.93, 6.87, 8.05, 3.79, 1.59, 3.67]","[27.09, 16.97, 9.47, 5.42, 4.3]","[60.0, 79.0, 75.0, 26.0]",45.54,"[0.04, 0.09, 0.22]"
National Stand,7,,504882,engineering,"[5.72, 11.03, 9.03, 0.14, 1.13, -0.05, 1.34, 5.22, 9.12, 2.54]","[406.0, 22160.0, 574.0, -97.0, -88.0, -102.0]","[34.33, 79.88, 58.72, 5.67, 9.07, 8.49, 19.06, 31.48, 51.69, 17.33]","[279.0, 841.0, 208.0, -82.0, -82.0, -51.0]","[33.0, 28.0, 31.0, 5.0, 25.0, -1.0, 14.0, 33.0, 35.0, 29.0]","[11.44, 22.07, 18.05, 0.28, 2.26, -0.1, 2.68, 10.43, 18.24, 5.07]","[21.19, 15.62, 2.9, 1.08, -4.07]","[36.0, 439.0, 169.0, 127.0]",55.98,"[2.84, 55.27]"
Tata Elxsi,7,TATAELXSI,500408,computerssoftware,"[11.47, 16.53, 9.18, 7.59, 6.69, 7.6, 6.9, 6.3, 3.32, 2.48]","[71.0, 118.0, 33.0, 20.0, 102.0, 206.0]","[243.52, 231.28, 221.49, 205.88, 190.76, 211.51, 198.6, 189.79, 172.2, 157.63]","[28.0, 9.0, 12.0, 8.0, 11.0, 34.0]","[15.0, 13.0, 13.0, 11.0, 11.0, 11.0, 11.0, 10.0, 6.0, 5.0]","[35.72, 29.84, 28.6, 23.64, 20.83, 23.67, 21.48, 19.61, 10.35, 7.71]","[33.05, 24.12, 6.74, 10.9, 10.19]","[37.0, 258.0, -38.0, 7.0]",36.32,[]
Vidhi Dyestuffs,7,,531717,dyespigments,"[0.76, 0.74, 0.71, 0.56, 0.49, 0.47, 0.24, 0.24, 0.25, 0.23]","[55.0, 57.0, 196.0, 133.0, 96.0, 104.0]","[59.05, 48.91, 47.53, 46.3, 40.26, 36.13, 29.54, 36.16, 38.96, 37.8]","[47.0, 35.0, 61.0, 28.0, 3.0, -4.0]","[6.0, 8.0, 7.0, 6.0, 6.0, 6.0, 4.0, 3.0, 3.0, 3.0]","[3.8, 3.72, 3.55, 2.78, 2.44, 2.32, 1.19, 1.22, 1.25, 1.15]","[2.48, 1.19, 0.83, 0.67, 0.74]","[108.0, 43.0, 24.0, -9.0]",27.47,"[1.02, 1.18, 1.27]"
Apollo Tyres,6,APOLLOTYRE,500877,tyres,"[4.46, 3.59, 3.19, 3.19, 2.76, 2.57, 2.19, 2.16, 1.86, 1.75]","[62.0, 40.0, 46.0, 48.0, 48.0, 47.0]","[2124.14, 2240.65, 2108.53, 2235.03, 2294.06, 2194.97, 2143.56, 2106.85, 2164.71, 2036.17]","[-7.0, 2.0, -2.0, 6.0, 6.0, 8.0]","[11.0, 8.0, 8.0, 7.0, 6.0, 6.0, 5.0, 5.0, 4.0, 4.0]","[227.11, 182.42, 161.94, 161.67, 139.05, 129.62, 110.3, 109.13, 93.57, 88.23]","[12.7, 8.78, 6.2, 3.6, 3.93]","[45.0, 42.0, 72.0, -8.0]",19.74,"[0.24, 0.33, 0.81]"
Arrow Coated,6,ARROWCOAT,516064,plastics,"[1.57, 0.97, 1.81, 1.68, 1.09, 0.37, 1.46, 1.44, 0.62, 0.38]","[44.0, 162.0, 24.0, 17.0, 76.0, -3.0]","[5.1, 5.29, 6.03, 5.86, 2.71, 5.08, 3.92, 4.39, 4.04, 3.01]","[88.0, 4.0, 54.0, 33.0, -33.0, 69.0]","[36.0, 22.0, 35.0, 34.0, 47.0, 9.0, 44.0, 38.0, 18.0, 14.0]","[1.84, 1.14, 2.12, 1.97, 1.28, 0.44, 1.71, 1.69, 0.72, 0.41]","[5.58, 3.88, 1.51, -1.67, -0.26]","[44.0, 157.0, 190.0, -542.0]",29.79,"[0.01, 0.16, 0.63]"
Asahi India,6,ASAHIINDIA,515030,glassglassproducts,"[0.9, 0.92, 0.47, 0.82, -0.14, 0.37, -0.02, -0.88, -1.86, -1.05]","[743.0, 149.0, 2450.0, 193.0, 92.0, 135.0]","[526.13, 518.85, 485.19, 536.04, 517.13, 545.58, 527.96, 534.57, 496.97, 491.98]","[2.0, -5.0, -8.0, 0.0, 4.0, 11.0]","[4.0, 4.0, 2.0, 4.0, -1.0, 1.0, -0.0, -3.0, -6.0, -3.0]","[21.88, 22.37, 11.37, 19.89, -3.42, 7.56, -0.67, -17.41, -29.7, -16.76]","[2.07, -1.96, -5.74, -3.67, 0.95]","[206.0, 66.0, -56.0, -486.0]",16.15,"[3.62, 4.21, 25.43]"
ATV Projects,6,ATVPROJ,500028,engineeringheavy,"[0.22, 6.77, 0.03, 0.1, 0.01, 0.09, 0.1, 0.1, 0.03, 0.17]","[2100.0, 7422.0, -70.0, 0.0, -67.0, -47.0]","[11.33, 39.83, 10.97, 9.06, 2.91, 14.32, 18.28, 12.64, 10.77, 11.97]","[289.0, 178.0, -40.0, -28.0, -73.0, 20.0]","[11.0, 4.0, 2.0, 2.0, 2.0, 3.0, 3.0, 4.0, 2.0, 8.0]","[1.19, 1.73, 0.24, 0.15, 0.06, 0.43, 0.51, 0.52, 0.26, 0.92]","[6.85, 0.32, 0.24, 0.24, 0.43]","[2041.0, 33.0, 0.0, -44.0]",-1.0,[]
Borosil Glass,6,BOROGLASS,502219,glassglassproducts,"[48.48, 47.26, 23.16, 80.09, 13.03, 37.7, 36.12, 11.15, 38.6, 20.53]","[272.0, 25.0, -36.0, 618.0, -66.0, 84.0]","[40.17, 55.85, 48.29, 43.08, 27.83, 48.21, 43.41, 37.1, 26.72, 41.61]","[44.0, 16.0, 11.0, 16.0, 4.0, 16.0]","[36.0, 25.0, 14.0, 56.0, 14.0, 24.0, 25.0, 9.0, 43.0, 15.0]","[14.57, 14.21, 6.96, 24.07, 3.92, 11.34, 10.85, 3.36, 11.6, 6.17]","[163.53, 123.57, 64.81, 85.58, 46.65]","[32.0, 91.0, -24.0, 83.0]",7.05,[]
Britannia,6,BRITANNIA,500825,foodprocessing,"[13.99, 11.76, 10.05, 21.1, 8.99, 7.63, 8.04, 7.99, 7.21, 7.35]","[56.0, 54.0, 25.0, 164.0, 25.0, 4.0]","[1828.68, 1846.55, 1834.31, 1801.23, 1618.37, 1619.77, 1614.43, 1594.45, 1403.44, 1486.63]","[13.0, 14.0, 14.0, 13.0, 15.0, 9.0]","[9.0, 8.0, 7.0, 14.0, 7.0, 6.0, 6.0, 6.0, 6.0, 6.0]","[167.77, 141.04, 120.52, 253.04, 107.81, 91.53, 96.33, 95.68, 86.29, 87.85]","[51.9, 30.87, 19.57, 15.63, 12.16]","[68.0, 58.0, 25.0, 29.0]",50.45,[]
CenturyPlyboard,6,CENTURYPLY,532548,miscellaneous,"[1.78, 2.16, 1.86, 1.61, 1.16, 1.32, 0.89, 0.99, -0.19, 1.91]","[53.0, 64.0, 109.0, 63.0, 711.0, -31.0]","[367.98, 404.94, 381.85, 404.84, 360.85, 340.37, 303.5, 349.91, 282.26, 299.8]","[2.0, 19.0, 26.0, 16.0, 28.0, 14.0]","[11.0, 12.0, 11.0, 9.0, 7.0, 9.0, 7.0, 6.0, -1.0, 14.0]","[39.69, 47.97, 41.37, 35.76, 25.72, 29.4, 19.74, 22.01, -4.21, 42.35]","[6.79, 3.01, 2.37, 2.7, 3.35]","[126.0, 27.0, -12.0, -19.0]",39.07,"[1.18, 1.54, 1.79]"
CIL Nova Petro,6,CNOVAPETRO,533407,textilesmanmade,"[0.81, 1.72, 0.14, 0.45, 0.66, 0.25, 0.57, 0.37, 0.28, 0.01]","[23.0, 588.0, -75.0, 22.0, 136.0, 2400.0]","[56.87, 62.76, 51.66, 64.04, 64.55, 84.24, 75.61, 73.75, 83.37, 54.58]","[-12.0, -25.0, -32.0, -13.0, -23.0, 54.0]","[2.0, 4.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0]","[1.1, 2.33, 0.19, 0.61, 0.89, 0.34, 0.77, 1.01, 0.77, 0.02]","[2.96, 2.14, 1.02, 1.73, 0.78]","[38.0, 110.0, -41.0, 122.0]",51.74,"[10.2, 18.65, 44.97]"
Coral India Fin,6,CORALFINAC,531556,financehousing,"[1.38, 2.57, 4.08, 2.83, 0.85, 0.44, 0.6, 2.23, 3.41, 2.48]","[62.0, 484.0, 580.0, 27.0, -75.0, -82.0]","[2.18, 5.79, 6.91, 5.07, 1.44, 1.64, 1.37, 4.37, 6.19, 7.18]","[51.0, 253.0, 404.0, 16.0, -77.0, -77.0]","[63.0, 44.0, 59.0, 56.0, 59.0, 27.0, 44.0, 51.0, 55.0, 34.0]","[1.38, 2.57, 4.08, 2.83, 0.85, 0.44, 0.6, 2.24, 3.41, 2.47]","[10.32, 6.7, 15.28, 10.33, 5.99]","[54.0, -56.0, 48.0, 72.0]",16.65,[]
Coral Labs,6,,524506,pharmaceuticals,"[7.75, 7.35, 8.25, 6.98, 4.2, 5.2, 4.0, 6.3, 5.62, 5.24]","[85.0, 41.0, 106.0, 11.0, -25.0, -1.0]","[13.96, 17.94, 13.55, 14.54, 11.46, 14.43, 11.11, 11.87, 11.69, 12.29]","[22.0, 24.0, 22.0, 22.0, -2.0, 17.0]","[20.0, 15.0, 22.0, 17.0, 13.0, 13.0, 16.0, 19.0, 17.0, 15.0]","[2.77, 2.63, 2.95, 2.49, 1.5, 1.86, 1.75, 2.25, 2.01, 1.87]","[26.79, 22.02, 16.87, 16.24, 12.45]","[22.0, 31.0, 4.0, 30.0]",16.2,[0.02]
CSS Technergy,6,,538922,computerssoftwaremediumsmall,"[0.87, 2.26, 0.21, 0.2, 0.2, 1.01, 0.15, 0.02, 0.02, -24.03]","[335.0, 124.0, 40.0, 900.0, 900.0, 104.0]","[6.0, 7.65, 3.79, 4.91, 3.33, 3.7, 3.19, 2.73, 2.84, 2.68]","[80.0, 107.0, 19.0, 80.0, 17.0, 38.0]","[11.0, 22.0, 4.0, 3.0, 5.0, 19.0, 3.0, 0.0, 0.0, -606.0]","[0.65, 1.68, 0.16, 0.15, 0.15, 0.69, 0.1, 0.01, 0.01, -16.25]","[2.86, 1.19, -24.46, 3.21, 1.0]","[140.0, 105.0, -862.0, 221.0]",17.94,"[0.21, 0.21, 0.08]"
Eicher Motors,6,EICHERMOT,505200,autolcvshcvs,"[67.67, 78.75, 45.78, 52.02, 49.21, 59.39, 27.54, 22.88, 19.48, 36.0]","[38.0, 33.0, 66.0, 127.0, 153.0, 65.0]","[1091.97, 956.7, 822.78, 816.01, 742.53, 633.39, 525.44, 457.59, 376.02, 331.04]","[47.0, 51.0, 57.0, 78.0, 97.0, 91.0]","[17.0, 22.0, 15.0, 17.0, 18.0, 25.0, 14.0, 14.0, 14.0, 29.0]","[183.56, 213.45, 124.08, 140.98, 133.24, 160.62, 74.43, 61.79, 52.62, 97.2]","[206.38, 103.15, 53.62, 46.18, 28.17]","[100.0, 92.0, 16.0, 64.0]",45.31,[]
High Ground Ent,6,,517080,trading,"[5.39, 4.34, 1.62, 2.88, 1.98, 3.41, 1.38, 0.74, 1.8, 0.56]","[172.0, 27.0, 17.0, 289.0, 10.0, 509.0]","[54.07, 38.29, 47.18, 52.95, 24.11, 23.58, 27.47, 11.64, 13.5, 16.83]","[124.0, 62.0, 72.0, 355.0, 79.0, 40.0]","[10.0, 10.0, 3.0, 5.0, 5.0, 8.0, 3.0, 4.0, 7.0, 6.0]","[5.14, 3.68, 1.24, 2.48, 1.21, 1.88, 0.76, 0.41, 0.99, 0.95]","[9.94, 7.36, 3.7, 5.49, -0.66]","[35.0, 99.0, -33.0, 932.0]",15.42,"[0.7, 0.33, 0.16]"
Himatsingka Sei,6,HIMATSEIDE,514043,textilessyntheticsilk,"[4.53, 2.94, 3.07, 2.79, 2.31, 2.02, 1.55, 0.97, 1.44, 1.52]","[96.0, 46.0, 98.0, 188.0, 60.0, 33.0]","[243.05, 216.3, 234.77, 243.0, 219.8, 248.62, 260.08, 244.46, 204.93, 172.31]","[11.0, -13.0, -10.0, -1.0, 7.0, 44.0]","[18.0, 13.0, 13.0, 11.0, 10.0, 8.0, 6.0, 4.0, 7.0, 9.0]","[44.56, 28.93, 30.23, 27.45, 22.74, 19.89, 15.27, 9.59, 14.13, 15.0]","[11.11, 5.98, 4.3, 2.03, -4.28]","[86.0, 39.0, 112.0, 147.0]",15.97,"[0.6, 0.62, 0.74]"
Hindustan Foods,6,,519126,foodprocessing,"[0.33, 9.0, -1.03, -1.53, -1.44, -1.85, -0.81, -0.75, -1.11, 0.03]","[123.0, 586.0, -27.0, -104.0, -30.0, -6267.0]","[5.56, 5.65, 1.91, 3.56, 2.49, 1.17, 1.0, 1.61, 0.72, 1.89]","[123.0, 383.0, 91.0, 121.0, 246.0, -38.0]","[3.0, 80.0, -27.0, -22.0, -29.0, -79.0, -40.0, -24.0, -78.0, 1.0]","[0.17, 4.5, -0.51, -0.77, -0.72, -0.93, -0.4, -0.38, -0.56, 0.02]","[5.0, -2.4, 0.12, None, None]","[308.0, -2100.0]",50.0,[]
Indo Count,6,ICIL,521016,textilesspinningcottonblended,"[14.02, 7.5, 11.89, 11.62, 6.8, 8.2, 10.31, 7.13, 3.9, 2.94]","[106.0, -9.0, 15.0, 63.0, 74.0, 179.0]","[454.66, 444.51, 413.12, 454.56, 303.37, 342.61, 366.66, 420.73, 280.32, 341.32]","[50.0, 30.0, 13.0, 8.0, 8.0, 0.0]","[12.0, 6.0, 11.0, 9.0, 8.0, 9.0, 10.0, 6.0, 5.0, 3.0]","[55.36, 28.03, 43.62, 42.5, 24.91, 29.15, 36.58, 25.38, 13.82, 10.44]","[37.18, 29.54, 7.61, 0.04, 3.92]","[26.0, 288.0, 18925.0, -99.0]",44.82,"[0.94, 2.22, 5.99]"
Katwa Udyog,6,,530977,cementmini,"[2.6, 3.24, 1.97, 1.8, 1.67, 1.16, 1.18, 1.65, 1.75, 0.72]","[56.0, 179.0, 67.0, 9.0, -5.0, 61.0]","[15.11, 17.8, 11.89, 10.81, 10.29, 11.35, 10.98, 12.91, 13.48, 13.09]","[47.0, 57.0, 8.0, -16.0, -24.0, -13.0]","[9.0, 9.0, 8.0, 9.0, 8.0, 5.0, 6.0, 7.0, 8.0, 8.0]","[1.33, 1.66, 1.01, 0.92, 0.86, 0.59, 0.61, 0.84, 1.12, 1.11]","[6.53, 5.32, 5.78, 3.58, 1.13]","[23.0, -8.0, 61.0, 217.0]",17.14,"[2.81, 3.65, 4.55]"
Keerthi Ind,6,,518011,cementmini,"[17.75, 23.69, 3.03, 3.08, -7.26, -6.75, -6.11, -3.46, -7.11, -18.81]","[344.0, 451.0, 150.0, 189.0, -2.0, 64.0]","[49.98, 46.06, 34.0, 30.17, 21.42, 30.61, 25.36, 25.59, 25.07, 23.02]","[133.0, 50.0, 34.0, 18.0, -15.0, 33.0]","[29.0, 42.0, 8.0, 9.0, -26.0, -17.0, -19.0, -10.0, -22.0, -65.0]","[14.43, 19.19, 2.63, 2.67, -5.62, -5.27, -4.7, -2.58, -5.5, -14.85]","[22.53, -23.51, -31.21, 13.89, 0.7]","[196.0, 25.0, -325.0, 1884.0]",60.95,"[6.46, 2.38, 1.41]"
Paushak Ltd,6,,532742,pesticidesagrochemicals,"[13.36, 11.83, 9.48, 5.14, 2.46, 4.45, 11.93, 8.63, 7.85, 5.33]","[160.0, 381.0, 113.0, -40.0, -69.0, -17.0]","[21.86, 20.85, 17.68, 13.32, 14.36, 11.85, 15.43, 12.87, 12.99, 13.62]","[64.0, 45.0, 49.0, 3.0, 11.0, -13.0]","[20.0, 18.0, 17.0, 12.0, 6.0, 12.0, 25.0, 22.0, 19.0, 13.0]","[4.28, 3.79, 3.04, 1.65, 0.79, 1.43, 3.83, 2.77, 2.52, 1.71]","[40.52, 27.48, 24.3, 10.75, 11.54]","[47.0, 13.0, 126.0, -7.0]",22.63,[]
PI Industries,6,PIIND,523642,pesticidesagrochemicals,"[6.39, 4.42, 4.56, 3.59, 5.27, 3.33, 2.55, 4.07, 3.58, 1.82]","[21.0, 33.0, 79.0, -12.0, 47.0, 83.0]","[551.6, 539.18, 502.05, 424.99, 470.15, 356.64, 362.89, 461.14, 405.63, 328.69]","[17.0, 51.0, 38.0, -8.0, 16.0, 9.0]","[16.0, 11.0, 12.0, 12.0, 15.0, 13.0, 10.0, 12.0, 12.0, 7.0]","[87.3, 60.32, 62.22, 48.97, 71.74, 45.19, 34.71, 55.29, 48.54, 23.09]","[17.84, 13.52, 7.57, 40.27, 57.73]","[32.0, 79.0, -81.0, -30.0]",27.56,"[0.09, 0.13, 0.36]"
Saraswati Comm,6,,512020,financeinvestments,"[113.3, 4.44, 37.5, 60.61, 3.06, -0.59, -3.22, 3.69, 0.7, -5.65]","[3603.0, 853.0, 1265.0, 1543.0, 337.0, 90.0]","[6.69, 1.38, 1.41, 5.19, 1.24, 0.74, 0.25, 0.23, 0.06, -0.26]","[440.0, 86.0, 464.0, 2157.0, 1967.0, 385.0]","[108.0, 20.0, 170.0, 75.0, 16.0, -5.0, -84.0, 104.0, 83.0, 138.0]","[7.25, 0.28, 2.4, 3.88, 0.2, -0.04, -0.21, 0.24, 0.05, -0.36]","[105.61, 0.59, 5.58, 9.26, 45.18]","[17800.0, -89.0, -40.0, -80.0]",31.65,"[1.52, 2.8]"
Shaily Engg,6,,501423,trading,"[4.06, 5.66, 3.54, 5.25, 2.56, 2.58, 3.59, 1.34, 1.42, 0.94]","[59.0, 119.0]","[53.51, 48.17, 45.77, 46.03, 38.84, 39.22, 40.51, 33.89, 28.95, 31.02]","[38.0, 23.0]","[6.0, 10.0, 6.0, 8.0, 5.0, 5.0, 6.0, 3.0, 4.0, 2.0]","[3.38, 4.71, 2.59, 3.84, 1.87, 1.89, 2.63, 0.98, 1.04, 0.69]","[17.19, 9.0, 4.95, 8.7, 3.81]","[91.0, 82.0, -43.0, 128.0]",16.21,"[0.89, 1.4, 1.06]"
South Asian Ent,6,,526477,miscellaneous,"[0.37, 0.23, 0.05, 0.2, 0.04, -0.25, 0.11, -0.07, 0.27, -0.25]","[825.0, 192.0, -55.0, 386.0, -85.0, 0.0]","[0.64, 0.52, 0.49, 0.76, 0.31, 0.72, 0.46, 0.56, 0.62, 0.38]","[106.0, -28.0, 7.0, 36.0, -50.0, 89.0]","[23.0, 17.0, 4.0, 11.0, 6.0, -14.0, 9.0, -5.0, 18.0, -26.0]","[0.15, 0.09, 0.02, 0.08, 0.02, -0.1, 0.04, -0.03, 0.11, -0.1]","[0.52, 0.06, -0.21, -0.19, 0.13]","[767.0, 129.0, -11.0, -246.0]",-1.0,[]
Southern Magnes,6,,513498,metalsnonferrous,"[1.1, 4.18, 2.82, 3.72, 0.45, -0.15, 0.23, 0.18, 0.52, 0.63]","[144.0, 2887.0, 1126.0, 1967.0, -13.0, -124.0]","[0.51, 2.19, 1.56, 1.35, 0.37, 0.39, 0.36, 0.38, 0.63, 0.58]","[38.0, 462.0, 333.0, 255.0, -41.0, -33.0]","[65.0, 58.0, 54.0, 83.0, 38.0, -10.0, 19.0, 13.0, 25.0, 33.0]","[0.33, 1.27, 0.85, 1.12, 0.14, -0.04, 0.07, 0.05, 0.16, 0.19]","[11.06, 0.79, 1.84, -0.37, 0.51]","[1300.0, -57.0, 597.0, -173.0]",108.71,[]
Srikalahasthi,6,SRIPIPES,513605,steelpigiron,"[8.53, 7.65, 4.61, 3.23, 4.18, 2.22, 2.45, 0.88, 3.55, -2.29]","[164.0, 83.0, 88.0, 267.0, 18.0, 197.0]","[255.85, 301.43, 257.13, 216.97, 247.59, 256.76, 264.05, 218.82, 232.85, 208.13]","[18.0, 22.0, -3.0, -1.0, 6.0, 23.0]","[13.0, 10.0, 7.0, 6.0, 7.0, 3.0, 4.0, 2.0, 6.0, -4.0]","[33.93, 30.43, 18.33, 12.84, 16.61, 8.83, 9.76, 3.5, 14.13, -9.11]","[20.87, 9.73, -3.29, -0.99, 10.57]","[114.0, 396.0, -232.0, -109.0]",28.29,"[1.29, 1.82, 2.21]"
SSPDL,6,,530821,constructioncontractingcivil,"[1.59, 6.01, -1.08, -0.84, -1.65, 1.02, -3.49, -2.48, -1.21, -2.22]","[196.0, 489.0, 69.0, 66.0, -36.0, 146.0]","[8.22, 146.58, 1.06, 1.09, 0.63, 1.51, 0.69, 0.95, 2.74, 0.72]","[1205.0, 9607.0, 54.0, 15.0, -77.0, 110.0]","[25.0, 5.0, -131.0, -37.0, -340.0, 87.0, -654.0, -337.0, -57.0, -400.0]","[2.06, 7.77, -1.39, -0.4, -2.14, 1.32, -4.51, -3.2, -1.57, -2.88]","[2.44, -6.16, -9.71, -2.97, 2.0]","[140.0, 37.0, -227.0, -249.0]",6.9,"[0.41, 0.68, 0.82]"
Sterling Tools,6,STERTOOLS,530759,fasteners,"[8.86, 10.87, 6.13, 7.04, 6.97, 5.09, 6.1, 7.14, 4.5, 5.22]","[27.0, 114.0, 0.0, -1.0, 55.0, -2.0]","[83.29, 92.91, 86.16, 82.77, 73.48, 83.76, 72.25, 76.71, 61.84, 68.99]","[13.0, 11.0, 19.0, 8.0, 19.0, 21.0]","[7.0, 8.0, 5.0, 6.0, 6.0, 4.0, 6.0, 6.0, 5.0, 5.0]","[6.06, 7.44, 4.2, 4.82, 4.77, 3.48, 4.18, 4.89, 3.08, 3.57]","[31.0, 22.83, 15.89, 21.56, 22.98]","[36.0, 44.0, -26.0, -6.0]",18.09,"[0.58, 0.86, 1.0]"
Vindhya Telelin,6,VINDHYATEL,517015,cablestelephone,"[17.04, 30.55, 8.1, 5.48, 4.7, 8.11, 5.68, 7.36, -3.52, 3.57]","[263.0, 277.0, 43.0, -26.0, 234.0, 127.0]","[203.67, 251.73, 156.95, 113.3, 119.81, 140.26, 128.45, 91.69, 57.71, 89.96]","[70.0, 79.0, 22.0, 24.0, 108.0, 56.0]","[10.0, 14.0, 6.0, 6.0, 5.0, 7.0, 5.0, 9.0, -7.0, 5.0]","[20.2, 36.2, 9.59, 6.49, 5.56, 9.6, 6.73, 8.71, -4.17, 4.23]","[48.81, 17.62, 4.85, -11.01, 3.23]","[177.0, 263.0, 144.0, -441.0]",19.66,"[1.03, 0.76, 0.62]"
Vishnu Chemical,6,VISHNU,516072,chemicals,"[4.51, 7.35, 4.08, 2.5, 1.03, 4.07, 2.22, 1.22, 0.24, 2.19]","[338.0, 81.0, 84.0, 105.0, 329.0, 86.0]","[108.64, 120.25, 101.23, 109.56, 82.97, 111.67, 79.78, 84.37, 72.0, 94.96]","[31.0, 8.0, 27.0, 30.0, 15.0, 18.0]","[6.0, 8.0, 6.0, 4.0, 3.0, 5.0, 5.0, 3.0, 2.0, 4.0]","[6.39, 9.81, 5.87, 3.99, 2.24, 5.85, 3.62, 2.42, 1.25, 3.99]","[14.97, 7.73, 2.9, 4.35, 9.57]","[94.0, 167.0, -33.0, -55.0]",-1.0,"[2.29, 2.75, 2.87]"
Abhinav Capital,5,,532057,financegeneral,"[1.63, 1.05, 0.96, 0.76, 0.95, -0.26, 0.34, -0.25, -0.98, -0.98]","[72.0, 504.0, 182.0, 404.0, 197.0, 73.0]","[1.87, 1.09, 1.25, 0.61, 0.86, 0.35, 0.46, 0.01, -0.63, 0.01]","[117.0, 211.0, 172.0, 6000.0, 237.0, 3400.0]","[60.0, 67.0, 54.0, 87.0, 77.0, -51.0, 52.0, -1700.0, 108.0, -6800.0]","[1.13, 0.73, 0.67, 0.53, 0.66, -0.18, 0.24, -0.17, -0.68, -0.68]","[2.01, 0.6, -0.38, 0.72, 3.21]","[235.0, 258.0, -153.0, -78.0]",9.32,[]
Ador Welding,5,ADORWELD,517041,electrodesgraphite,"[4.12, 7.07, 0.46, 14.9, 2.02, -3.62, 2.11, 3.43, 1.19, 6.55]","[104.0, 295.0, -78.0, 334.0, 70.0, -155.0]","[80.08, 135.91, 86.61, 87.45, 73.91, 122.82, 85.16, 91.43, 68.08, 118.41]","[8.0, 11.0, 2.0, -4.0, 9.0, 4.0]","[7.0, 6.0, 1.0, 23.0, 4.0, -4.0, 3.0, 5.0, 2.0, 8.0]","[5.6, 8.73, 0.63, 20.26, 2.75, -4.92, 2.87, 4.66, 1.62, 8.91]","[3.13, 3.11, 14.03, 15.36, 18.89]","[1.0, -78.0, -9.0, -19.0]",15.87,[]
AIA Engineering,5,AIAENG,532683,engineeringheavy,"[9.06, 16.49, 9.73, 12.15, 5.59, 10.08, 6.01, 6.91, 7.22, 6.96]","[62.0, 64.0, 62.0, 76.0, -23.0, 45.0]","[445.0, 588.5, 510.14, 477.64, 442.0, 465.74, 435.97, 432.56, 385.66, 414.34]","[1.0, 26.0, 17.0, 10.0, 15.0, 12.0]","[19.0, 26.0, 18.0, 24.0, 12.0, 20.0, 13.0, 15.0, 18.0, 16.0]","[85.47, 155.49, 91.81, 114.57, 52.71, 95.11, 56.69, 65.17, 68.07, 65.61]","[43.95, 30.22, 17.93, 16.0, 13.76]","[45.0, 69.0, 12.0, 16.0]",25.1,"[0.03, 0.07, 0.14]"
Ajanta Soya,5,,519216,vanaspatioils,"[0.64, 1.08, 0.14, 0.14, 0.28, 0.63, 0.25, 0.33, -0.3, 0.15]","[129.0, 71.0, -44.0, -58.0, 193.0, 320.0]","[154.1, 129.1, 125.12, 155.53, 142.91, 133.32, 138.71, 113.72, 87.43, 97.84]","[8.0, -3.0, -10.0, 37.0, 63.0, 36.0]","[1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, -1.0, 0.0]","[0.99, 1.68, 0.22, 0.21, 0.44, 0.97, 0.38, 0.52, -0.47, 0.18]","[1.65, 0.9, 0.44, 0.26, None]","[83.0, 105.0, 69.0]",-1.0,"[0.08, 1.47, 1.52]"
Anjani Cement,5,,518091,cementmini,"[3.65, 8.61, 4.16, 1.57, -5.25, -7.67, -1.63, 0.07, -1.3, -0.08]","[170.0, 212.0, 355.0, 2143.0, -304.0, -9488.0]","[87.74, 81.98, 64.19, 62.9, 49.52, 73.03, 68.07, 67.67, 67.07, 87.84]","[77.0, 12.0, -6.0, -7.0, -26.0, -17.0]","[8.0, 19.0, 12.0, 5.0, -20.0, -19.0, -4.0, 0.0, -4.0, -0.0]","[6.71, 15.83, 7.65, 2.88, -9.66, -14.11, -2.99, 0.13, -2.39, -0.15]","[9.09, -10.52, 1.68, 9.33, 0.39]","[186.0, -726.0, -82.0, 2292.0]",21.57,"[2.47, 2.38, 2.6]"
