Name,filters passed,NSE,BSE,Sector,epsQ,epsQ%,salesQ,salesQ%,ATPMQ,ATPQ,epsA,epsA%
ADS Diagnostic ,4,,523031,hospitalsmedicalservices,"['2.72', '0.26', '0.09', '0.40', '0.14', '0.36', '0.08', '0.12', '-0.08', '-0.81']","[1842.8571428571427, -27.777777777777775, 12.499999999999993, 233.33333333333334, 275.00000000000006, 144.44444444444443]","['2.78', '2.01', '1.21', '2.74', '1.47', '2.15', '2.41', '1.91', '0.87', '1.30']","[38.30845771144279, 66.11570247933884, -55.839416058394164, 86.39455782312928, -31.627906976744185, -10.788381742738599, 26.1780104712042, 119.54022988505749, -33.07692307692308]","[0.21582733812949642, 0.02985074626865672, 0.01652892561983471, 0.03284671532846715, 0.02040816326530612, 0.037209302325581395, 0.008298755186721992, 0.015706806282722512, -0.022988505747126436, -0.13846153846153844]","['0.60', '0.06', '0.02', '0.09', '0.03', '0.08', '0.02', '0.03', '-0.02', '-0.18']","['0.39', '0.20', '-0.50', '0.05', '0.35']","[95.0, 140.0, -1100.0, -85.71428571428572]"
Alfa ICA,4,,530973,miscellaneous,"['0.84', '0.01', '1.05', '0.95', '0.61', '0.30', '0.05', '0.56', '0.56', '--']","[37.704918032786885, -96.66666666666667, 2000.0, 69.64285714285711, 8.928571428571416]","['12.85', '8.01', '15.69', '16.59', '14.73', '9.87', '14.39', '16.08', '15.88', '12.17']","[60.42446941323346, -48.94837476099426, -5.424954792043401, 12.62729124236252, 49.24012158054713, -31.410701876302998, -10.509950248756205, 1.2594458438286997, 30.484798685291707]","[0.0264591439688716, 0.0012484394506866417, 0.026768642447418736, 0.022905364677516575, 0.01697216564833673, 0.0121580547112462, 0.001389854065323141, 0.013681592039800997, 0.017632241813602016, -0.03286770747740345]","['0.34', '0.01', '0.42', '0.38', '0.25', '0.12', '0.02', '0.22', '0.28', '-0.40']","['2.63', '1.76', '1.24', '0.49', '1.64']","[49.43181818181818, 41.935483870967744, 153.0612244897959, -70.1219512195122]"
Avanti Feeds,4,AVANTIFEED,512573,aquaculture,"['50.33', '24.52', '37.99', '37.63', '28.21', '15.96', '24.71', '20.45', '15.66', '7.28']","[78.41191066997517, 53.63408521303257, 53.743423715095105, 84.00977995110026, 80.14048531289912, 119.23076923076923]","['597.45', '378.41', '381.75', '525.66', '472.88', '273.93', '274.43', '297.94', '266.32', '156.20']","[57.884305383050126, -0.8749181401440667, -27.377011756648777, 11.161394011165617, 72.62804366078925, -0.18219582407171228, -7.8908505068134485, 11.87293481525984, 70.49935979513445]","[0.07650849443468072, 0.058851510266641996, 0.09037328094302555, 0.06502301868127687, 0.054178649974623586, 0.05293323111743876, 0.08176948584338448, 0.06236154930522923, 0.05343196155001502, 0.042317541613316266]","['45.71', '22.27', '34.50', '34.18', '25.62', '14.50', '22.44', '18.58', '14.23', '6.61']","['128.35', '76.79', '33.24', '34.35', '4.27']","[67.14415939575463, 131.01684717208184, -3.2314410480349323, 704.4496487119438]"
B&A; Packaging,4,,523186,packaging,"['2.67', '0.17', '1.98', '1.37', '1.41', '-0.07', '0.68', '2.14', '0.27', '-0.26']","[89.36170212765958, 342.85714285714283, 191.17647058823525, -35.981308411214954, 422.2222222222222, 73.07692307692307]","['14.80', '9.62', '9.06', '14.30', '13.08', '10.05', '8.17', '13.49', '8.76', '8.99']","[53.84615384615387, 6.181015452538617, -36.64335664335665, 9.327217125382267, 30.149253731343272, 23.011015911872715, -39.43661971830986, 53.99543378995434, -2.558398220244721]","[0.0891891891891892, 0.009355509355509356, 0.10816777041942605, 0.04755244755244755, 0.05351681957186544, -0.0029850746268656712, 0.04161566707466341, 0.07857672349888807, 0.014840182648401827, -0.01446051167964405]","['1.32', '0.09', '0.98', '0.68', '0.70', '-0.03', '0.34', '1.06', '0.13', '-0.13']","['4.93', '3.02', '0.03', '3.56', '--']","[63.245033112582774, 9966.666666666668, -99.15730337078652]"
Cosboard Ind,4,,530859,paper,"['0.93', '3.48', '0.18', '0.59', '0.16', '0.52', '-0.11', '0.14', '0.03', '1.07']","[481.25, 569.2307692307692, 263.6363636363636, 321.42857142857133, 433.33333333333337, -51.40186915887851]","['13.62', '8.23', '11.82', '9.64', '11.82', '9.13', '7.47', '9.77', '7.85', '6.63']","[65.4921020656136, -30.37225042301184, 22.61410788381742, -18.443316412859556, 29.463307776560782, 22.22222222222224, -23.541453428863868, 24.45859872611465, 18.40120663650075]","[0.029368575624082235, 0.18226002430133656, 0.00676818950930626, 0.025933609958506222, 0.005922165820642978, 0.024096385542168672, -0.006693440428380188, 0.006141248720573183, 0.003821656050955414, 0.0693815987933635]","['0.40', '1.50', '0.08', '0.25', '0.07', '0.22', '-0.05', '0.06', '0.03', '0.46']","['5.35', '0.63', '0.19', '0.13', '1.02']","[749.2063492063492, 231.57894736842107, 46.15384615384615, -87.25490196078431]"
Eveready Ind,4,EVEREADY,531508,drycells,"['2.19', '0.75', '2.11', '2.43', '1.46', '0.17', '0.62', '0.51', '0.57', '-0.30']","[50.0, 341.17647058823525, 240.32258064516125, 376.47058823529414, 156.14035087719301, 156.66666666666666]","['347.93', '274.75', '325.23', '354.29', '323.49', '256.99', '296.45', '319.34', '279.57', '227.55']","[26.635122838944497, -15.521323371152729, -8.202320133224195, 9.521159850381778, 25.876493248764543, -13.310844999156682, -7.16790881192459, 14.225417605608607, 22.860909690177973]","[0.045670106055815826, 0.01983621474067334, 0.04713587307443962, 0.04978972028564171, 0.0327676280565087, 0.004864002490369275, 0.015280823073030867, 0.011586396943696375, 0.01473691740887792, -0.009448472863107009]","['15.89', '5.45', '15.33', '17.64', '10.60', '1.25', '4.53', '3.70', '4.12', '-2.15']","['6.74', '1.87', '0.70', '-10.99', '5.42']","[260.42780748663097, 167.14285714285717, 106.36942675159236, -302.76752767527677]"
High Ground Ent,4,,517080,trading,"['5.39', '4.34', '1.62', '2.88', '1.98', '3.41', '1.38', '0.74', '1.80', '0.56']","[172.2222222222222, 27.272727272727266, 17.391304347826104, 289.18918918918916, 9.999999999999996, 508.92857142857133]","['54.07', '38.29', '47.18', '52.95', '24.11', '23.58', '27.47', '11.64', '13.50', '16.83']","[41.21180464873335, -18.84272997032641, -10.897072710103876, 119.61841559518874, 2.247667514843092, -14.160902803057883, 135.99656357388315, -13.777777777777775, -19.786096256684484]","[0.09506195672276678, 0.09610864455471403, 0.02628232301822806, 0.046836638338054765, 0.050186644545831605, 0.07972858354537744, 0.027666545322169642, 0.035223367697594495, 0.07333333333333333, 0.05644682115270351]","['5.14', '3.68', '1.24', '2.48', '1.21', '1.88', '0.76', '0.41', '0.99', '0.95']","['9.94', '7.36', '3.70', '5.49', '-0.66']","[35.054347826086946, 98.91891891891892, -32.60473588342441, 931.8181818181819]"
Safari Ind,4,,523025,plastics,"['11.37', '7.36', '-1.61', '7.54', '0.81', '-1.11', '-5.13', '5.82', '4.77', '3.89']","[50.79575596816975, 808.6419753086419, 68.61598440545808, 29.55326460481099, -83.0188679245283, -128.53470437017995]","['80.38', '57.69', '45.78', '63.88', '43.78', '38.91', '32.40', '51.38', '27.58', '30.09']","[39.33090656959612, 26.015727391874172, -28.33437695679399, 45.911375057103704, 12.516062708815229, 20.092592592592588, -36.94044375243286, 86.29441624365485, -8.341641741442345]","[0.056357302811644694, 0.05009533714681921, -0.013761467889908256, 0.0353788353162179, 0.005481955230698949, -0.00848111025443331, -0.04722222222222223, 0.03386531724406384, 0.05184916606236403, 0.0385510136257893]","['4.53', '2.89', '-0.63', '2.26', '0.24', '-0.33', '-1.53', '1.74', '1.43', '1.16']","['11.81', '0.39', '-2.08', '-2.37', '8.85']","[2928.205128205128, 118.75, 12.236286919831224, -126.77966101694915]"
United Textiles,4,,521188,textilesspinningcottonblended,"['0.11', '0.04', '0.08', '0.10', '0.08', '0.05', '0.04', '0.06', '0.03', '0.03']","[37.5, -20.000000000000004, 100.0, 66.66666666666669, 166.66666666666669, 66.66666666666669]","['3.50', '2.61', '2.84', '3.79', '1.78', '2.58', '2.73', '3.09', '2.17', '2.86']","[34.09961685823755, -8.098591549295776, -25.06596306068602, 112.92134831460672, -31.007751937984494, -5.494505494505491, -11.6504854368932, 42.3963133640553, -24.125874125874127]","[0.008571428571428572, 0.003831417624521073, 0.007042253521126761, 0.007915567282321899, 0.011235955056179775, 0.003875968992248062, 0.003663003663003663, 0.006472491909385114, 0.009216589861751152, 0.003496503496503497]","['0.03', '0.01', '0.02', '0.03', '0.02', '0.01', '0.01', '0.02', '0.02', '0.01']","['0.30', '0.23', '0.17', '0.06', '0.02']","[30.43478260869564, 35.29411764705882, 183.33333333333337, 199.99999999999994]"
ABB,3,ABB,500002,infrastructuregeneral,"['2.71', '2.56', '3.97', '2.12', '2.25', '2.44', '2.76', '1.68', '1.90', '2.01']","[20.444444444444443, 4.9180327868852505, 43.840579710144944, 26.190476190476204, 18.421052631578952, 21.393034825870657]","['1906.47', '1785.01', '2204.89', '1821.38', '1794.40', '1809.98', '2174.91', '1762.40', '1720.54', '1953.36']","[6.804443672584469, -19.043126868007015, 21.056012474058118, 1.5035666518056185, -0.8607829920772565, -16.77908511156783, 23.406150703586004, 2.4329570948655728, -11.91894991194659]","[0.03013422713181954, 0.030414395437560575, 0.03816970461111439, 0.024695560509064553, 0.026577128845296474, 0.028552801688416445, 0.026939045753617396, 0.021601225601452563, 0.023446127378613693, 0.021788098455993776]","['57.45', '54.29', '84.16', '44.98', '47.69', '51.68', '58.59', '38.07', '40.34', '42.56']","['10.78', '8.46', '6.48', '8.71', '2.98']","[27.42316784869974, 30.555555555555557, -25.602755453501725, 192.2818791946309]"
Abhinav Capital,3,,532057,financegeneral,"['1.63', '1.05', '0.96', '0.76', '0.95', '-0.26', '0.34', '-0.25', '-0.98', '-0.98']","[71.57894736842105, 503.8461538461538, 182.35294117647055, 404.0, 196.9387755102041, 73.46938775510205]","['1.87', '1.09', '1.25', '0.61', '0.86', '0.35', '0.46', '0.01', '-0.63', '0.01']","[71.55963302752293, -12.799999999999995, 104.91803278688525, -29.069767441860467, 145.71428571428572, -23.913043478260878, 4500.0, -101.58730158730158, -6400.0]","[0.60427807486631, 0.6697247706422018, 0.536, 0.8688524590163935, 0.7674418604651163, -0.5142857142857143, 0.5217391304347826, -17.0, 1.0793650793650795, -68.0]","['1.13', '0.73', '0.67', '0.53', '0.66', '-0.18', '0.24', '-0.17', '-0.68', '-0.68']","['2.01', '0.60', '-0.38', '0.72', '3.21']","[234.99999999999997, 257.89473684210526, -152.7777777777778, -77.57009345794394]"
Ahlcon Parent,3,,524448,pharmaceuticals,"['9.09', '3.91', '5.40', '8.39', '6.49', '5.19', '6.95', '6.32', '5.86', '2.47']","[40.061633281972256, -24.662813102119465, -22.30215827338129, 32.75316455696203, 10.750853242320817, 110.12145748987854]","['32.30', '27.47', '27.85', '30.36', '29.86', '28.83', '28.30', '29.96', '27.15', '24.29']","[17.582817619220965, -1.3644524236983933, -8.267457180500653, 1.6744809109176158, 3.572667360388489, 1.8727915194346203, -5.54072096128171, 10.3499079189687, 11.774392754219841]","[0.20278637770897834, 0.10265744448489261, 0.13967684021543986, 0.20059288537549408, 0.15706630944407235, 0.1300728407908429, 0.17738515901060067, 0.15120160213618158, 0.1572744014732965, 0.07451626183614657]","['6.55', '2.82', '3.89', '6.09', '4.69', '3.75', '5.02', '4.53', '4.27', '1.81']","['27.02', '17.79', '6.94', '5.87', '--']","[51.88308038223721, 156.34005763688756, 18.228279386712103]"
Ajanta Soya,3,,519216,vanaspatioils,"['0.64', '1.08', '0.14', '0.14', '0.28', '0.63', '0.25', '0.33', '-0.30', '0.15']","[128.57142857142856, 71.42857142857144, -43.99999999999999, -57.57575757575757, 193.33333333333337, 320.0]","['154.10', '129.10', '125.12', '155.53', '142.91', '133.32', '138.71', '113.72', '87.43', '97.84']","[19.364833462432223, 3.180946291560094, -19.552497910370985, 8.8307326289273, 7.193219321932196, -3.8858049167327624, 21.9750263805839, 30.06977010179571, -10.639820114472604]","[0.006424399740428293, 0.013013168086754455, 0.001758312020460358, 0.0013502218221564972, 0.0030788608214960466, 0.007275727572757276, 0.0027395285127243887, 0.0045726345409778405, -0.0053757291547523725, 0.001839738348323794]","['0.99', '1.68', '0.22', '0.21', '0.44', '0.97', '0.38', '0.52', '-0.47', '0.18']","['1.65', '0.90', '0.44', '0.26', '--']","[83.33333333333331, 104.54545454545455, 69.23076923076923]"
Alankit,3,ALANKIT,531082,diamondcuttingjewellerypreciousmetals,"['0.46', '0.28', '-0.12', '0.23', '0.28', '0.33', '0.09', '0.43', '0.72', '0.65']","[100.0, -15.151515151515147, -233.33333333333334, -46.51162790697674, -61.11111111111111, -49.230769230769226]","['1.52', '1.14', '0.26', '1.26', '1.66', '--', '0.01', '0.05', '2.10', '5.84']","[33.33333333333335, 338.4615384615384, -79.36507936507937, -24.096385542168672]","[0.21710526315789475, 0.1754385964912281, -0.23076923076923075, 0.0873015873015873, 0.08433734939759037]","['0.33', '0.20', '-0.06', '0.11', '0.14', '0.16', '0.04', '0.21', '0.35', '0.31']","['0.28', '1.02', '0.84', '3.34', '--']","[-72.54901960784314, 21.428571428571434, -74.8502994011976]"
Alpine Hsg,3,ALPINEHOU,526519,constructioncontractinghousing,"['0.78', '0.68', '0.40', '0.66', '0.48', '0.61', '0.65', '0.55', '0.48', '0.59']","[62.500000000000014, 11.475409836065584, -38.46153846153846, 19.999999999999996, 0.0, 3.3898305084745797]","['5.35', '2.31', '3.82', '3.57', '6.72', '10.37', '5.36', '7.83', '15.63', '9.29']","[131.6017316017316, -39.52879581151832, 7.002801120448179, -46.875, -35.197685631629696, 93.47014925373132, -31.545338441890163, -49.90403071017275, 68.24542518837463]","[0.09532710280373832, 0.19047619047619047, 0.06806282722513089, 0.12044817927170869, 0.046130952380952384, 0.037608486017357765, 0.07835820895522387, 0.04597701149425287, 0.01983365323096609, 0.04090419806243273]","['0.51', '0.44', '0.26', '0.43', '0.31', '0.39', '0.42', '0.36', '0.31', '0.38']","['2.21', '2.29', '1.72', '1.36', '0.82']","[-3.493449781659392, 33.139534883720934, 26.470588235294105, 65.85365853658539]"
AML Steel,3,AMLSTEEL,,miningminerals,"['1.28', '0.05', '-0.08', '0.05', '0.05', '0.05', '-0.01', '0.03', '0.03', '0.02']","[2460.0, 0.0, -700.0000000000001, 66.66666666666669, 66.66666666666669, 150.0]","['46.13', '29.98', '25.30', '27.94', '37.16', '36.09', '31.23', '26.86', '26.95', '27.41']","[53.869246164109406, 18.49802371541502, -9.448818897637796, -24.81162540365984, 2.9648101967303773, 15.561959654178684, 16.26954579300075, -0.3339517625231906, -1.678219627873042]","[0.020810752221981355, 0.0013342228152101402, -0.0023715415019762843, 0.001073729420186113, 0.0010764262648008613, 0.001108340260459961, -0.00032020493115593983, 0.0007446016381236039, 0.0007421150278293136, 0.0007296607077708865]","['0.96', '0.04', '-0.06', '0.03', '0.04', '0.04', '-0.01', '0.02', '0.02', '0.02']","['--', '0.08', '--', '--', '--']",[]
Ansal Buildwell,3,,523007,constructioncontractinghousing,"['17.66', '0.44', '3.57', '3.11', '4.14', '2.24', '2.77', '4.84', '4.59', '1.93']","[326.5700483091788, -80.35714285714286, 28.880866425992775, -35.743801652892564, -9.803921568627455, 16.062176165803123]","['46.20', '29.66', '22.07', '18.67', '29.21', '19.59', '22.09', '20.32', '27.40', '31.19']","[55.765340525960895, 34.390575441776164, 18.21103374397428, -36.08353303663129, 49.10668708524758, -11.317338162064283, 8.71062992125984, -25.839416058394153, -12.151330554664964]","[0.2822510822510822, 0.01112609575185435, 0.11916628908019936, 0.12265666845206212, 0.10441629578911331, 0.08473711077080143, 0.09234947940244455, 0.17618110236220472, 0.12372262773722628, 0.04584802821417121]","['13.04', '0.33', '2.63', '2.29', '3.05', '1.66', '2.04', '3.58', '3.39', '1.43']","['11.25', '14.44', '14.79', '15.37', '13.98']","[-22.091412742382268, -2.3664638269100724, -3.773584905660378, 9.942775393419161]"
Anuh Pharma,3,,506260,pharmaceuticals,"['9.61', '5.97', '6.81', '5.69', '7.86', '6.81', '5.16', '4.96', '4.13', '3.62']","[22.264631043256987, -12.334801762114536, 31.976744186046503, 14.71774193548388, 90.31476997578693, 88.12154696132595]","['86.81', '70.91', '66.32', '71.13', '75.34', '76.61', '66.81', '67.42', '55.56', '58.92']","[22.422789451417298, 6.920989143546448, -6.762266273021232, -5.588001061852943, -1.657747030413779, 14.668462804969312, -0.9047760308513786, 21.34629229661627, -5.70264765784114]","[0.09238566985370349, 0.07022986884783529, 0.08579613992762365, 0.06677913679178968, 0.08707194053623572, 0.07427228821302703, 0.0645113007034875, 0.06140611094630673, 0.062095032397408205, 0.05125594025797692]","['8.02', '4.98', '5.69', '4.75', '6.56', '5.69', '4.31', '4.14', '3.45', '3.02']","['26.33', '21.06', '15.01', '15.22', '14.53']","[25.023741690408357, 40.30646235842771, -1.379763469119585, 4.748795595320036]"
Apollo Tyres,3,APOLLOTYRE,500877,tyres,"['4.46', '3.59', '3.19', '3.19', '2.76', '2.57', '2.19', '2.16', '1.86', '1.75']","[61.59420289855073, 39.688715953307394, 45.662100456621005, 47.685185185185176, 48.38709677419353, 46.85714285714285]","['2124.14', '2240.65', '2108.53', '2235.03', '2294.06', '2194.97', '2143.56', '2106.85', '2164.71', '2036.17']","[-5.199830406355308, 6.265976770546298, -5.659879285736656, -2.573167223176366, 4.514412497665123, 2.398346675623722, 1.742411657213377, -2.67287535050885, 6.312832425583323]","[0.10691856468970973, 0.08141387543793095, 0.0768023219968414, 0.0723345995355767, 0.06061306155898277, 0.059053198904768636, 0.05145645561589132, 0.05179770747798847, 0.043225189517302545, 0.04333135249021447]","['227.11', '182.42', '161.94', '161.67', '139.05', '129.62', '110.30', '109.13', '93.57', '88.23']","['12.70', '8.78', '6.20', '3.60', '3.93']","[44.64692482915717, 41.612903225806434, 72.22222222222221, -8.396946564885498]"
Aravali Sec,3,ARAVALISEC,512344,financeinvestments,"['0.32', '-1.42', '-0.18', '-0.13', '-0.18', '6.28', '-0.18', '-1.29', '-0.12', '0.01']","[277.77777777777777, -122.61146496815287, 0.0, 89.92248062015504, -50.0, 62700.0]","['1.01', '0.28', '0.23', '0.24', '0.13', '0.05', '0.14', '0.12', '0.31', '0.78']","[260.71428571428567, 21.739130434782613, -4.166666666666659, 84.6153846153846, 160.0, -64.28571428571429, 16.666666666666682, -61.29032258064516, -60.256410256410255]","[0.48514851485148514, -7.714285714285714, -1.173913043478261, -0.8333333333333334, -2.076923076923077, 18.999999999999996, -1.9285714285714286, -16.25, -0.6129032258064516, 0.01282051282051282]","['0.49', '-2.16', '-0.27', '-0.20', '-0.27', '0.95', '-0.27', '-1.95', '-0.19', '0.01']","['-1.92', '-0.96', '-0.80', '-0.95', '-0.75']",[]
Arihant Super,3,,506194,financeinvestments,"['0.24', '0.24', '0.43', '1.52', '0.18', '0.37', '0.18', '0.10', '0.03', '0.19']","[33.33333333333333, -35.13513513513514, 138.88888888888889, 1420.0, 500.0, 94.73684210526315]","['15.02', '8.66', '12.14', '30.40', '7.57', '13.75', '11.40', '12.44', '10.77', '16.06']","[73.44110854503464, -28.665568369028012, -60.065789473684205, 301.58520475561426, -44.945454545454545, 20.614035087719294, -8.360128617363337, 15.506035283194059, -32.93897882938979]","[0.1937416777629827, 0.11200923787528867, 0.14497528830313014, 0.20526315789473687, 0.09907529722589167, 0.11127272727272727, 0.06491228070175438, 0.03295819935691318, 0.011142061281337047, 0.052303860523038606]","['2.91', '0.97', '1.76', '6.24', '0.75', '1.53', '0.74', '0.41', '0.12', '0.84']","['0.68', '1.26', '2.92', '2.98', '--']","[-46.03174603174603, -56.84931506849315, -2.0134228187919483]"
Artson Engg,3,ARTSONENGG,522134,engineering,"['0.14', '-0.13', '-0.21', '-0.09', '-0.12', '-0.63', '-0.73', '-0.52', '-0.37', '-6.04']","[216.66666666666669, 79.36507936507937, 71.23287671232877, 82.6923076923077, 67.56756756756756, 89.56953642384106]","['21.43', '13.79', '15.59', '16.07', '18.77', '27.95', '17.50', '15.12', '18.11', '18.52']","[55.402465554749824, -11.54586273252085, -2.986932171748603, -14.38465636654235, -32.84436493738819, 59.71428571428571, 15.740740740740748, -16.51021535063501, -2.2138228941684672]","[0.02426504899673355, -0.0340826686004351, -0.04874919820397691, -0.019912881144990666, -0.023441662226957913, -0.08372093023255814, -0.15371428571428572, -0.1283068783068783, -0.07509663169519604, -1.2030237580993521]","['0.52', '-0.47', '-0.76', '-0.32', '-0.44', '-2.34', '-2.69', '-1.94', '-1.36', '-22.28']","['-0.54', '-2.26', '-10.67', '-3.56', '1.23']",[]
Asahi India,3,ASAHIINDIA,515030,glassglassproducts,"['0.90', '0.92', '0.47', '0.82', '-0.14', '0.37', '-0.02', '-0.88', '-1.86', '-1.05']","[742.8571428571428, 148.64864864864867, 2450.0, 193.18181818181816, 92.4731182795699, 135.2380952380952]","['526.13', '518.85', '485.19', '536.04', '517.13', '545.58', '527.96', '534.57', '496.97', '491.98']","[1.4031030162860119, 6.937488406603603, -9.486232370718598, 3.656720747200891, -5.214633967520811, 3.3373740434881434, -1.236507847428777, 7.5658490452140015, 1.014268872718405]","[0.04158668009807462, 0.043114580321865666, 0.023434118592716255, 0.03710543989254533, -0.006613424090654188, 0.013856812933025403, -0.0012690355329949238, -0.03256823241109676, -0.059762158681610555, -0.034066425464449775]","['21.88', '22.37', '11.37', '19.89', '-3.42', '7.56', '-0.67', '-17.41', '-29.70', '-16.76']","['2.07', '-1.96', '-5.74', '-3.67', '0.95']","[205.61224489795916, 65.85365853658537, -56.4032697547684, -486.3157894736842]"
Asia Pack,3,,530899,packaging,"['1.01', '0.08', '-0.47', '-0.35', '1.29', '-0.33', '-0.18', '-0.18', '-0.09', '-0.32']","[-21.70542635658915, 124.24242424242425, -161.11111111111111, -94.44444444444444, 1533.3333333333335, -3.1250000000000027]","['4.62', '3.68', '1.61', '2.82', '8.40', '--', '--', '--', '--', '--']","[25.543478260869563, 128.57142857142858, -42.90780141843971, -66.42857142857143]","[0.05844155844155845, -0.029891304347826084, -0.07453416149068322, -0.031914893617021274, 0.04047619047619048]","['0.27', '-0.11', '-0.12', '-0.09', '0.34', '-0.08', '-0.05', '-0.05', '-0.02', '0.43']","['0.55', '-0.77', '-1.33', '-1.63', '-2.91']","[171.42857142857144, 42.10526315789474, 18.404907975460112, 43.98625429553265]"
Assambrook,3,,500025,plantationsteacoffee,"['5.63', '1.27', '-0.47', '-10.66', '-0.36', '11.42', '-0.10', '-7.03', '1.42', '6.16']","[1663.888888888889, -88.87915936952714, -370.0, -51.635846372688476, -125.35211267605632, 85.38961038961038]","['8.01', '10.46', '2.58', '13.59', '15.91', '10.01', '3.88', '14.41', '13.03', '10.63']","[-23.422562141491404, 305.4263565891473, -81.01545253863135, -14.582023884349468, 58.94105894105894, 157.98969072164948, -73.07425399028453, 10.590943975441295, 22.577610536218234]","[0.45443196004993763, 0.07839388145315486, -0.12015503875968991, -0.506990434142752, -0.014456316781898178, 0.7372627372627373, -0.018041237113402064, -0.315058986814712, 0.0706062931696086, 0.37441204139228595]","['3.64', '0.82', '-0.31', '-6.89', '-0.23', '7.38', '-0.07', '-4.54', '0.92', '3.98']","['0.29', '0.08', '-0.01', '0.29', '--']","[262.49999999999994, 900.0, -103.44827586206897]"
Astec Life,3,ASTEC,533138,pharmaceuticals,"['1.76', '6.95', '1.99', '3.28', '1.30', '0.81', '1.22', '1.69', '1.12', '1.30']","[35.38461538461538, 758.0246913580247, 63.114754098360656, 94.08284023668638, 16.071428571428566, -37.69230769230769]","['54.42', '90.19', '53.02', '59.09', '48.92', '41.98', '47.29', '58.50', '41.64', '56.95']","[-39.66071626566138, 70.10562052055826, -10.272465730242002, 20.789043336058874, 16.531681753215828, -11.22858955381688, -19.162393162393162, 40.48991354466859, -26.883230904302025]","[0.05733186328555678, 0.03049118527552944, 0.07053941908713693, 0.09933998984599762, 0.04926410466067049, 0.030252501191043356, 0.04779023049270459, 0.05230769230769231, 0.04875120076849183, 0.03915715539947322]","['3.12', '2.75', '3.74', '5.87', '2.41', '1.27', '2.26', '3.06', '2.03', '2.23']","['13.55', '5.02', '3.45', '1.43', '3.00']","[169.92031872509963, 45.50724637681157, 141.25874125874128, -52.33333333333333]"
Asya Infosoft,3,,511144,financehousing,"['0.51', '0.36', '0.01', '--', '0.01', '0.02', '0.01', '0.01', '--', '0.17']","[5000.0, 1699.9999999999995, 0.0]","['0.08', '0.03', '0.02', '0.16', '0.03', '0.15', '0.03', '0.02', '0.01', '0.14']","[166.66666666666669, 49.999999999999986, -87.50000000000001, 433.33333333333337, -80.0, 400.0, 49.999999999999986, 100.0, -92.85714285714285]","[2.0, 3.666666666666667, 0.0, 0.0625, 0.0, 0.46666666666666673, 0.0, 0.0, 0.0, 0.35714285714285715]","['0.16', '0.11', '0.00', '0.01', '0.00', '0.07', '0.00', '0.00', '0.00', '0.05']","['0.38', '0.03', '0.19', '-1.12', '-0.09']","[1166.6666666666665, -84.21052631578947, 116.9642857142857, -1144.4444444444446]"
ATV Projects,3,ATVPROJ,500028,engineeringheavy,"['0.22', '6.77', '0.03', '0.10', '0.01', '0.09', '0.10', '0.10', '0.03', '0.17']","[2100.0, 7422.222222222223, -70.0, 0.0, -66.66666666666666, -47.05882352941177]","['11.33', '39.83', '10.97', '9.06', '2.91', '14.32', '18.28', '12.64', '10.77', '11.97']","[-71.55410494602059, 263.08113035551503, 21.08167770419426, 211.340206185567, -79.67877094972067, -21.66301969365427, 44.620253164556964, 17.363045496750242, -10.025062656641612]","[0.10503089143865843, 0.04343459703740899, 0.021877848678213307, 0.016556291390728475, 0.020618556701030927, 0.030027932960893854, 0.027899343544857767, 0.04113924050632911, 0.02414113277623027, 0.07685881370091896]","['1.19', '1.73', '0.24', '0.15', '0.06', '0.43', '0.51', '0.52', '0.26', '0.92']","['6.85', '0.32', '0.24', '0.24', '0.43']","[2040.6249999999995, 33.33333333333334, 0.0, -44.18604651162791]"
Automobile Prod,3,,505032,auto23wheelers,"['1.85', '0.20', '-0.15', '0.02', '0.01', '0.43', '0.01', '-0.14', '--']","[18400.0, -53.48837209302325, -1600.0, 114.28571428571428]","['1.48', '0.87', '0.48', '0.40', '0.32', '2.72', '0.29', '0.78', '--']","[70.11494252873564, 81.25000000000001, 19.99999999999999, 25.000000000000007, -88.23529411764707, 837.9310344827587, -62.82051282051282]","[0.6013513513513513, 0.10344827586206896, -0.14583333333333334, 0.024999999999999998, 0.03125, 0.07720588235294117, 0.03448275862068966, -0.08974358974358974]","['0.89', '0.09', '-0.07', '0.01', '0.01', '0.21', '0.01', '-0.07', '-0.09']","['0.08', '0.12', '-11.55', '-6.17', '-103.31']","[-33.33333333333333, 101.03896103896103, -87.19611021069693, 94.02768367050625]"
Baid Leasing,3,,511724,financeleasinghirepurchase,"['1.15', '0.89', '0.55', '0.13', '0.38', '0.18', '0.38', '0.52', '0.56', '0.44']","[202.6315789473684, 394.4444444444444, 44.73684210526317, -75.0, -32.14285714285715, -59.09090909090909]","['3.63', '2.35', '2.22', '1.91', '1.92', '1.79', '1.94', '1.87', '1.75', '1.56']","[54.46808510638297, 5.855855855855851, 16.23036649214661, -0.5208333333333338, 7.262569832402228, -7.7319587628865944, 3.743315508021382, 6.857142857142863, 12.179487179487175]","[0.1928374655647383, 0.23404255319148937, 0.15315315315315314, 0.041884816753926704, 0.11979166666666667, 0.061452513966480445, 0.12371134020618557, 0.1711229946524064, 0.19999999999999998, 0.17307692307692307]","['0.70', '0.55', '0.34', '0.08', '0.23', '0.11', '0.24', '0.32', '0.35', '0.27']","['1.95', '1.65', '1.63', '1.05', '1.00']","[18.181818181818183, 1.2269938650306762, 55.23809523809522, 5.000000000000004]"
