Name,filters passed,NSE,BSE,Sector,epsQ,epsQ%,salesQ,salesQ%,ATPMQ,ATPQ,epsA,epsA%
Nihar Info,3,,531083,computerssoftwaremediumsmall,"['0.38', '0.13', '0.33', '0.01', '0.20', '0.13', '0.05', '-0.06', '-0.09', '-0.09']","[89.99999999999999, 0.0, 560.0, 116.66666666666666, 322.2222222222223, 244.44444444444446]","['0.30', '1.19', '0.19', '0.04', '0.21', '0.16', '0.17', '0.07', '0.12', '0.00']","[-74.78991596638654, 526.3157894736843, 375.0, -80.95238095238095, 31.249999999999993, -5.8823529411764754, 142.85714285714286, -41.66666666666666]","[0.6333333333333334, 0.05042016806722689, 0.8421052631578947, 0.25, 0.5714285714285714, 0.5, 0.1764705882352941, -0.5714285714285714, -0.5]","['0.19', '0.06', '0.16', '0.01', '0.12', '0.08', '0.03', '-0.04', '-0.06', '-0.06']","['0.70', '0.02', '-2.13', '-1.09', '0.08']","[3399.999999999999, 100.93896713615023, -95.41284403669722, -1462.5000000000002]"
Niraj Cement,3,,532986,constructioncontractingcivil,"['0.04', '0.04', '0.08', '--', '-0.08', '-0.23', '-0.07', '-0.03', '-0.17', '-4.27']","[150.0, 117.3913043478261, 214.28571428571428]","['21.02', '51.36', '32.71', '6.61', '11.38', '16.32', '10.83', '8.55', '11.82', '13.32']","[-59.073208722741434, 57.016202996025676, 394.85627836611195, -41.91564147627417, -30.26960784313725, 50.69252077562327, 26.666666666666654, -27.664974619289335, -11.26126126126126]","[0.018553758325404377, 0.0009735202492211839, 0.027514521553041883, 0.0030257186081694403, -0.07293497363796132, -0.14950980392156862, -0.0664819944598338, -0.03274853801169591, -0.15736040609137056, -0.3460960960960961]","['0.39', '0.05', '0.90', '0.02', '-0.83', '-2.44', '-0.72', '-0.28', '-1.86', '-4.61']","['0.88', '-0.49', '-5.25', '7.14', '13.09']","[279.5918367346939, 90.66666666666666, -173.52941176470588, -45.45454545454546]"
Ocean Agro,3,,519491,packaging,"['0.49', '--', '0.22', '0.60', '0.22', '0.35', '--', '0.68', '0.09', '--']",[122.72727272727273],"['5.59', '3.19', '6.20', '7.21', '4.84', '3.05', '6.14', '7.17', '3.77', '2.98']","[75.23510971786834, -48.5483870967742, -14.008321775312064, 48.96694214876033, 58.68852459016394, -50.3257328990228, -14.365411436541148, 90.18567639257294, 26.51006711409396]","[0.05903398926654741, -0.16927899686520378, 0.08064516129032258, 0.05547850208044383, 0.030991735537190084, -0.006557377049180329, -0.014657980456026058, 0.06276150627615062, 0.015915119363395226, -0.07046979865771812]","['0.33', '-0.54', '0.50', '0.40', '0.15', '-0.02', '-0.09', '0.45', '0.06', '-0.21']","['0.19', '0.02', '0.06', '0.03', '--']","[850.0, -66.66666666666666, 100.0]"
Orbit Exports,3,ORBTEXP,512626,textilesweaving,"['6.00', '4.43', '3.99', '5.97', '4.55', '1.88', '3.60', '6.31', '3.13', '3.11']","[31.868131868131872, 135.63829787234042, 10.833333333333336, -5.388272583201266, 45.367412140575084, -39.549839228295816]","['41.78', '40.80', '30.62', '43.27', '36.44', '35.33', '28.36', '36.40', '32.30', '34.38']","[2.401960784313735, 33.24624428478117, -29.2350358215854, 18.7431394072448, 3.1418058307387478, 24.57686882933709, -22.087912087912088, 12.693498452012388, -6.050029086678316]","[0.20536141694590712, 0.15514705882352942, 0.1845199216198563, 0.19459209614051304, 0.17288693743139408, 0.08378148881969998, 0.16889985895627646, 0.23076923076923078, 0.12910216718266254, 0.1172193135543921]","['8.58', '6.33', '5.65', '8.42', '6.30', '2.96', '4.79', '8.40', '4.17', '4.03']","['18.80', '14.91', '11.18', '11.45', '10.09']","[26.089872568745815, 33.36314847942755, -2.3580786026200835, 13.478691774033692]"
Orient Abrasive,3,ORIENTABRA,504879,abrasives,"['0.41', '0.05', '0.33', '0.38', '0.27', '0.07', '0.01', '0.23', '0.28', '0.38']","[51.85185185185184, -28.571428571428577, 3200.0, 65.21739130434781, -3.571428571428574, -81.57894736842105]","['54.25', '42.32', '44.91', '52.09', '43.04', '37.32', '42.00', '42.39', '52.07', '49.30']","[28.189981096408317, -5.767089735025599, -13.783835669034374, 21.026951672862467, 15.326902465166128, -11.142857142857142, -0.9200283085633417, -18.590359131937774, 5.618661257606497]","[0.09050691244239632, 0.013941398865784499, 0.08862168782008462, 0.08696486849683241, 0.07481412639405205, 0.023311897106109324, 0.0019047619047619048, 0.06605331446095777, 0.06337622431342423, 0.09168356997971602]","['4.91', '0.59', '3.98', '4.53', '3.22', '0.87', '0.08', '2.80', '3.30', '4.52']","['1.03', '0.59', '1.33', '0.76', '3.91']","[74.57627118644069, -55.63909774436091, 75.00000000000001, -80.56265984654732]"
Oriental Carbon,3,ORIENTCARB,506579,chemicals,"['13.94', '15.12', '12.35', '12.73', '9.64', '12.75', '13.13', '7.60', '5.79', '7.68']","[44.60580912863069, 18.58823529411764, -5.9405940594059485, 67.50000000000001, 66.49395509499138, 66.01562500000001]","['71.38', '75.57', '64.56', '74.34', '67.67', '71.96', '63.73', '65.28', '60.30', '56.99']","[-5.54452825195183, 17.05390334572489, -13.155770782889428, 9.856657307521798, -5.9616453585325075, 12.913855327161459, -2.374387254901967, 8.258706467661698, 5.8080364976311545]","[0.20103670495937237, 0.20603414053195715, 0.19687112763320944, 0.17635189669087972, 0.14674153982562435, 0.18246247915508618, 0.21214498666248235, 0.11979166666666667, 0.0988391376451078, 0.13879628004913142]","['14.35', '15.57', '12.71', '13.11', '9.93', '13.13', '13.52', '7.82', '5.96', '7.91']","['49.84', '39.28', '26.60', '30.55', '36.30']","[26.883910386965383, 47.669172932330824, -12.929623567921439, -15.840220385674922]"
Panchsheel Org,3,PANCHSHEEL,531726,pharmaceuticals,"['2.21', '0.75', '1.20', '0.48', '0.86', '0.15', '0.94', '1.31', '1.11', '0.02']","[156.97674418604652, 400.0, 27.659574468085108, -63.3587786259542, -22.522522522522532, 650.0]","['9.82', '7.30', '9.34', '10.52', '8.64', '10.69', '8.38', '10.35', '9.75', '8.01']","[34.520547945205486, -21.841541755888652, -11.216730038022812, 21.75925925925925, -19.176800748362947, 27.565632458233875, -19.03381642512076, 6.15384615384615, 21.722846441947567]","[0.11303462321792261, 0.050684931506849315, 0.06423982869379015, 0.022813688212927757, 0.04976851851851852, 0.006548175865294669, 0.056085918854415266, 0.063768115942029, 0.05743589743589744, 0.0012484394506866417]","['1.11', '0.37', '0.60', '0.24', '0.43', '0.07', '0.47', '0.66', '0.56', '0.01']","['3.77', '3.51', '2.63', '4.57', '2.83']","[7.407407407407414, 33.460076045627375, -42.45076586433261, 61.48409893992933]"
PDS Multi,3,PDSMFL,538730,textilesgeneral,"['0.01', '-0.02', '-0.31', '-0.25', '-0.41', '-277.49', '11.62']","[102.4390243902439, 99.99279253306426, -102.66781411359725]","['5.69', '1.81', '1.33', '1.23', '--', '2.50', '0.91']","[214.36464088397793, 36.09022556390977, 8.130081300813014]","[0.007029876977152899, -0.03314917127071823, -0.6090225563909775, -0.5365853658536586]","['0.04', '-0.06', '-0.81', '-0.66', '-0.30', '-1.18', '0.06']","['-0.66', '-189.98', '22.52']",[]
PI Industries,3,PIIND,523642,pesticidesagrochemicals,"['6.39', '4.42', '4.56', '3.59', '5.27', '3.33', '2.55', '4.07', '3.58', '1.82']","[21.25237191650854, 32.73273273273273, 78.82352941176471, -11.793611793611804, 47.206703910614515, 82.96703296703296]","['551.60', '539.18', '502.05', '424.99', '470.15', '356.64', '362.89', '461.14', '405.63', '328.69']","[2.303497904224948, 7.395677721342484, 18.132191345678724, -9.605445070722103, 31.82761327949753, -1.722284989941856, -21.305894088563125, 13.684885240243569, 23.40807447747117]","[0.1582668600435098, 0.11187358581549761, 0.12393187929489094, 0.11522624061742628, 0.15258959906412847, 0.1267104082548228, 0.0956488192014109, 0.11989851238235677, 0.11966570519931957, 0.07024856247528066]","['87.30', '60.32', '62.22', '48.97', '71.74', '45.19', '34.71', '55.29', '48.54', '23.09']","['17.84', '13.52', '7.57', '40.27', '57.73']","[31.952662721893493, 78.59973579920738, -81.20188726098833, -30.244240429585993]"
Pidilite Ind,3,PIDILITIND,500331,chemicals,"['4.28', '1.51', '2.41', '2.67', '3.20', '4.28', '1.51', '2.41', '2.67', '3.20']",[33.75],"['1298.36', '962.44', '1075.73', '1129.39', '1207.24', '1298.36', '962.44', '1075.73', '1129.39', '1207.24']","[34.90295498940192, -10.531453059782656, -4.75123739363728, -6.448593485967985, -7.018084352567847, 34.90295498940192, -10.531453059782656, -4.75123739363728, -6.448593485967985]","[0.1690902369142611, 0.08023357300195336, 0.11501027209429875, 0.12098566482791594, 0.13607899009310492, 0.1690902369142611, 0.08023357300195336, 0.11501027209429875, 0.12098566482791594, 0.13607899009310492]","['219.54', '77.22', '123.72', '136.64', '164.28', '219.54', '77.22', '123.72', '136.64', '164.28']","['9.79', '9.14', '9.04', '6.59', '6.00']","[7.111597374179415, 1.1061946902655024, 37.17754172989377, 9.833333333333332]"
Pokarna,3,,532486,ceramicsgranite,"['10.71', '10.40', '7.49', '4.75', '3.56', '3.94', '3.42', '1.50', '-0.99', '0.57']","[200.8426966292135, 163.9593908629442, 119.00584795321637, 216.66666666666666, 459.5959595959596, 591.2280701754387]","['52.57', '52.95', '44.45', '50.34', '42.89', '46.86', '40.45', '41.58', '40.34', '41.42']","[-0.717658168083102, 19.122609673790773, -11.700437028208183, 17.37001632082071, -8.472044387537343, 15.84672435105067, -2.7176527176527068, 3.0738720872582914, -2.607436021245771]","[0.12630778010272017, 0.12181303116147309, 0.1046119235095613, 0.05860150973381009, 0.05152716250874329, 0.052069995731967564, 0.052410383189122375, 0.022366522366522368, -0.01536936043629152, 0.008691453404152583]","['6.64', '6.45', '4.65', '2.95', '2.21', '2.44', '2.12', '0.93', '-0.62', '0.36']","['26.21', '7.87', '5.88', '1.63', '2.07']","[233.03684879288434, 33.84353741496599, 260.7361963190184, -21.256038647342994]"
Pondy Oxides,3,PONDYOXIDE,532626,chemicals,"['5.04', '4.49', '3.84', '2.02', '1.80', '0.70', '0.02', '1.10', '0.71', '1.26']","[180.0, 541.4285714285714, 19100.0, 83.63636363636363, 153.5211267605634, -44.44444444444445]","['108.89', '86.05', '99.49', '153.28', '112.50', '124.43', '101.75', '132.45', '89.55', '104.74']","[26.542707728065086, -13.508895366368478, -35.09264091858038, 36.24888888888889, -9.587720003214665, 22.289926289926296, -23.17855794639486, 47.906197654941366, -14.502577811724269]","[0.025805859123886492, 0.02905287623474724, 0.021509699467283146, 0.01467901878914405, 0.017777777777777778, 0.006268584746443783, 0.00019656019656019656, 0.00921102302755757, 0.008821887213847013, 0.013366431162879512]","['2.81', '2.50', '2.14', '2.25', '2.00', '0.78', '0.02', '1.22', '0.79', '1.40']","['12.03', '2.52', '2.48', '2.35', '5.52']","[377.38095238095235, 1.6129032258064528, 5.531914893617016, -57.427536231884055]"
Pratiksha Chem,3,,531257,dyespigments,"['0.09', '-0.70', '0.04', '0.04', '0.05', '-0.03', '0.01', '0.02', '0.02', '-0.04']","[79.99999999999999, -2233.333333333333, 300.0, 100.0, 150.0, 25.000000000000007]","['3.40', '1.76', '3.19', '2.56', '2.65', '1.58', '1.59', '1.71', '1.62', '1.29']","[93.18181818181817, -44.827586206896555, 24.609374999999993, -3.396226415094335, 67.72151898734175, -0.6289308176100634, -7.017543859649117, 5.5555555555555465, 25.581395348837216]","[0.014705882352941178, -0.2215909090909091, 0.006269592476489029, 0.0078125, 0.011320754716981131, -0.006329113924050633, 0.006289308176100628, 0.0058479532163742695, 0.006172839506172839, -0.015503875968992248]","['0.05', '-0.39', '0.02', '0.02', '0.03', '-0.01', '0.01', '0.01', '0.01', '-0.02']","['0.03', '0.02', '0.02', '0.21', '0.06']","[49.999999999999986, 0.0, -90.47619047619048, 250.0]"
