Name,filters passed,NSE,BSE,Sector,epsQ,epsQ%,salesQ,salesQ%,ATPMQ,ATPQ,epsA,epsA%
Ace Soft Export,1,,531525,computerssoftwaremediumsmall,"['0.43', '0.06', '0.18', '0.55', '0.03', '0.16', '0.39', '0.29', '0.46', '-0.07']","[1333.3333333333335, -62.5, -53.846153846153854, 89.65517241379312, -93.47826086956522, 328.57142857142856]","['2.14', '2.24', '1.00', '1.41', '1.26', '1.57', '1.27', '1.08', '0.78', '1.65']","[-4.464285714285718, 124.00000000000003, -29.078014184397162, 11.904761904761898, -19.74522292993631, 23.62204724409449, 17.592592592592588, 38.46153846153847, -52.72727272727272]","[0.09345794392523364, 0.01339285714285714, 0.08, 0.1843971631205674, 0.015873015873015872, 0.0445859872611465, 0.14173228346456693, 0.12962962962962962, 0.28205128205128205, -0.01818181818181818]","['0.20', '0.03', '0.08', '0.26', '0.02', '0.07', '0.18', '0.14', '0.22', '-0.03']","['0.83', '1.30', '0.84', '0.78', '0.63']","[-36.15384615384616, 54.76190476190478, 7.6923076923076845, 23.809523809523814]"
Achal Invest,1,,538570,miscellaneous,"['--', '--', '--', '0.01']",[],"['0.34', '0.32', '0.21', '0.49']","[6.250000000000005, 52.380952380952394, -57.14285714285715]","[0.029411764705882353, 0.0, 0.09523809523809525, 0.020408163265306124]","['0.01', '0.00', '0.02', '0.01']","['0.01', '0.12', '0.03', '--', '--']","[-91.66666666666667, 300.0]"
ACI Infotech,1,,517356,computershardware,"['0.01', '-0.01', '0.01', '0.01', '--', '--', '0.02', '--', '--', '--']",[],"['0.20', '1.71', '--', '--', '--', '--', '--', '--', '--', '--']",[-88.30409356725146],"[0.3, -0.08187134502923978]","['0.06', '-0.14', '0.09', '0.07', '0.05', '0.05', '0.02', '0.04', '0.04', '0.05']","['0.01', '0.01', '0.03', '0.16', '0.01']","[0.0, -66.66666666666666, -81.25, 1500.0]"
ACIL Cotton Ind,1,,530901,textilesspinningcottonblended,"['--', '--', '--', '--', '--', '--', '--', '--', '--', '--']",[],"['1.33', '3.83', '0.13', '0.10', '0.09', '0.12', '0.15', '0.13', '0.13', '0.20']","[-65.27415143603133, 2846.153846153846, 30.0, 11.111111111111121, -25.0, -20.0, 15.384615384615378, 0.0, -35.0]","[0.022556390977443608, -3.7336814621409924, 0.0, 0.0, 0.0, -0.08333333333333334, 0.0, 0.0, 0.07692307692307693, 0.3]","['0.03', '-14.30', '0.00', '0.00', '0.00', '-0.01', '0.00', '0.00', '0.01', '0.06']","['--', '--', '--', '--', '--']",[]
Acknit Knitting,1,,530043,textileshosieryknitwear,"['1.34', '3.45', '2.54', '2.98', '2.96', '2.08', '2.69', '3.13', '1.87', '2.38']","[-54.729729729729726, 65.86538461538461, -5.576208178438659, -4.792332268370604, 58.28877005347592, -12.605042016806717]","['30.28', '39.10', '29.66', '35.27', '34.46', '37.85', '30.78', '31.19', '24.11', '26.57']","[-22.55754475703325, 31.8273769386379, -15.905869010490509, 2.3505513639001805, -8.95640686922061, 22.969460688758932, -1.3145238858608532, 29.36540854417255, -9.258562288295073]","[0.011228533685601057, 0.022250639386189257, 0.02157788267026298, 0.021264530762687833, 0.02176436448055717, 0.013738441215323647, 0.022092267706302796, 0.02532863097146521, 0.019493985897967647, 0.02258185923974407]","['0.34', '0.87', '0.64', '0.75', '0.75', '0.52', '0.68', '0.79', '0.47', '0.60']","['11.93', '9.78', '6.07', '5.75', '4.72']","[21.983640081799596, 61.12026359143326, 5.565217391304353, 21.82203389830509]"
Acropetal Tech,1,ACROPETAL,533330,computerssoftware,"['-1.56', '--', '-3.45', '-3.43', '-1.70', '-19.39', '-0.22', '0.08', '0.47', '-0.08']",[],"['2.56', '4.15', '4.80', '4.77', '4.69', '10.05', '32.19', '21.93', '42.38', '40.20']","[-38.3132530120482, -13.541666666666657, 0.6289308176100681, 1.705756929637509, -53.333333333333336, -68.77912395153774, 46.78522571819425, -48.253893345917895, 5.422885572139302]","[-2.36328125, -34.92530120481927, -2.7979166666666666, -2.79874213836478, -1.4093816631130063, -7.502487562189055, -0.02702702702702703, 0.01459188326493388, 0.04318074563473336, -0.007711442786069651]","['-6.05', '-144.94', '-13.43', '-13.35', '-6.61', '-75.40', '-0.87', '0.32', '1.83', '-0.31']","['--', '-19.06', '1.32', '7.47', '9.68']",[]
Acrow India,1,,513149,constructioncontractingcivil,"['-1.30', '-0.99', '-0.99', '10.54', '-1.74', '-2.90', '-2.23', '-3.06', '-1.92', '-3.77']",[],"['--', '--', '--', '0.13', '0.08', '0.01', '0.00', '0.00', '0.02', '0.05']",[-1],[],"['-0.08', '-0.06', '-0.06', '1.96', '-0.11', '-0.19', '-0.14', '-0.20', '-0.12', '-0.01']","['21.07', '-10.12', '-2.95', '-0.11', '0.93']","[308.201581027668, -243.05084745762707, -2581.818181818182, -111.8279569892473]"
Acrysil India,1,,524091,plastics,"['5.68', '3.12', '4.08', '6.23', '7.25', '2.25', '4.60', '5.17', '5.87', '2.72']","[-21.655172413793107, 38.66666666666667, -11.304347826086948, 20.502901353965193, 23.509369676320272, -17.279411764705888]","['34.10', '25.09', '27.22', '31.60', '32.50', '26.04', '25.28', '26.86', '25.53', '20.50']","[35.910721402949385, -7.825128581925052, -13.860759493670894, -2.7692307692307647, 24.80798771121352, 3.0063291139240427, -5.882352941176464, 5.20955738347042, 24.536585365853664]","[0.07741935483870968, 0.05739338381825428, 0.06906686260102865, 0.09018987341772151, 0.10153846153846154, 0.038786482334869435, 0.08109177215189872, 0.08600148920327626, 0.10262436349392871, 0.059024390243902436]","['2.64', '1.44', '1.88', '2.85', '3.30', '1.01', '2.05', '2.31', '2.62', '1.21']","['20.49', '17.87', '12.35', '13.26', '20.38']","[14.661443760492428, 44.69635627530366, -6.862745098039216, -34.93621197252208]"
Action Const,1,ACE,532762,engineeringheavy,"['0.11', '0.19', '0.26', '0.13', '0.09', '0.17', '0.08', '0.05', '0.10', '0.31']","[22.222222222222225, 11.764705882352935, 225.0, 160.0, -10.000000000000009, -45.16129032258064]","['133.56', '164.09', '144.72', '149.09', '130.05', '169.50', '156.40', '142.83', '140.14', '169.06']","[-18.605643244560913, 13.384466556108352, -2.9311154336306955, 14.640522875816986, -23.274336283185836, 8.375959079283883, 9.50080515297906, 1.919509062366224, -17.106352774163028]","[0.008161126085654388, 0.011700895849838503, 0.017965726920950803, 0.008853712522637334, 0.006997308727412534, 0.009793510324483775, 0.005115089514066497, 0.0037107050339564517, 0.007421150278293136, 0.018336685200520526]","['1.09', '1.92', '2.60', '1.32', '0.91', '1.66', '0.80', '0.53', '1.04', '3.10']","['0.68', '0.41', '0.73', '3.32', '4.39']","[65.85365853658539, -43.83561643835617, -78.01204819277109, -24.373576309794988]"
Action Financia,1,,511706,financeinvestments,"['-0.01', '0.03', '-0.01', '--', '--', '-0.06', '--', '0.01', '-0.05', '1.01']",[],"['0.24', '0.35', '0.36', '0.28', '0.23', '0.29', '0.30', '0.42', '0.44', '0.44']","[-31.428571428571427, -2.7777777777777803, 28.57142857142855, 21.739130434782613, -20.689655172413783, -3.3333333333333366, -28.57142857142857, -4.545454545454549, 0.0]","[-0.5833333333333334, 1.0285714285714287, -0.3055555555555556, -0.21428571428571425, 0.13043478260869565, 2.103448275862069, 0.0, 0.2619047619047619, -1.5, 2.5]","['-0.14', '0.36', '-0.11', '-0.06', '0.03', '0.61', '0.00', '0.11', '-0.66', '1.10']","['0.02', '-0.06', '0.03', '--', '--']","[133.33333333333334, -300.0]"
