Name,filters passed,NSE,BSE,Sector,epsQ,epsQ%,salesQ,salesQ%,ATPMQ,ATPQ,epsA,epsA%
Addi Industries,1,,507852,textileshosieryknitwear,"['0.89', '0.98', '-0.12', '-0.11', '0.08', '-0.10', '-0.18', '-0.16', '-0.16', '2.76']","[1012.5, 1080.0, 33.33333333333333, 31.25, 150.0, -103.6231884057971]","['--', '0.19', '--', '0.00', '--', '0.22', '0.44', '0.00', '--', '0.06']",[-1],[],"['0.96', '1.06', '-0.13', '-0.12', '0.09', '-0.11', '-0.19', '-0.17', '-0.17', '2.98']","['0.83', '-0.60', '2.08', '-2.40', '0.53']","[238.33333333333334, -128.84615384615387, 186.66666666666669, -552.8301886792452]"
ADF Foods,1,ADFFOODS,519183,foodprocessing,"['1.59', '1.24', '1.21', '1.64', '2.55', '1.43', '0.91', '1.52', '1.80', '4.17']","[-37.647058823529406, -13.286713286713283, 32.967032967032964, 7.894736842105256, 41.66666666666665, -65.70743405275779]","['35.66', '40.95', '31.40', '32.86', '35.42', '42.22', '30.54', '33.16', '27.55', '35.81']","[-12.918192918192933, 30.41401273885352, -4.4430919050517375, -7.227555053642017, -16.10611084793936, 38.24492468893255, -7.901085645355844, 20.36297640653356, -23.066182630550127]","[0.09814918676388111, 0.06666666666666667, 0.08471337579617835, 0.10986001217285453, 0.15838509316770186, 0.07437233538607296, 0.06548788474132286, 0.10102533172496986, 0.14337568058076225, 0.2870706506562412]","['3.50', '2.73', '2.66', '3.61', '5.61', '3.14', '2.00', '3.35', '3.95', '10.28']","['6.64', '5.66', '7.59', '5.77', '8.90']","[17.314487632508825, -25.428194993412383, 31.542461005199314, -35.1685393258427]"
Adhbhut Infra,1,,539189,infrastructuregeneral,"['0.18', '0.18', '0.19', '0.21', '0.12', '0.04', '0.05', '0.05', '0.07', '0.07']","[50.0, 349.99999999999994, 280.0, 319.99999999999994, 71.4285714285714, -42.85714285714286]","['0.27', '0.28', '0.28', '0.33', '0.25', '0.26', '0.26', '0.26', '0.27', '0.25']","[-3.571428571428574, 0.0, -15.151515151515147, 32.00000000000001, -3.8461538461538494, 0.0, 0.0, -3.703703703703707, 8.000000000000007]","[0.7407407407407407, 0.6785714285714285, 0.7142857142857143, 0.7272727272727272, 0.52, 0.15384615384615385, 0.19230769230769232, 0.23076923076923075, 0.2962962962962963, 0.28]","['0.20', '0.19', '0.20', '0.24', '0.13', '0.04', '0.05', '0.06', '0.08', '0.07']","['0.75', '0.25', '0.48', '--', '16.26']","[200.0, -47.916666666666664]"
Adhinath Textil,1,,514113,textilesspinningsyntheticblended,"['0.11', '0.09', '0.14', '0.08', '0.16', '0.02', '0.06', '-0.13', '0.36', '-0.74']","[-31.25, 349.99999999999994, 133.33333333333337, 161.53846153846155, -55.55555555555556, 102.7027027027027]","['0.29', '0.26', '0.22', '0.19', '0.22', '0.18', '0.20', '0.15', '0.39', '1.51']","[11.538461538461526, 18.181818181818183, 15.789473684210526, -13.636363636363635, 22.222222222222225, -10.000000000000009, 33.33333333333335, -61.53846153846154, -74.17218543046357]","[0.2758620689655173, 0.23076923076923075, 0.40909090909090906, 0.2631578947368421, 0.5, 0.11111111111111112, 0.19999999999999998, -0.6, 0.641025641025641, -0.33774834437086093]","['0.08', '0.06', '0.09', '0.05', '0.11', '0.02', '0.04', '-0.09', '0.25', '-0.51']","['0.47', '0.32', '1.10', '0.96', '0.60']","[46.874999999999986, -70.9090909090909, 14.583333333333348, 60.0]"
Adhunik Ind,1,,538365,steelmediumsmall,"['0.53', '1.46', '0.12', '0.35']",[],"['115.99', '87.44', '102.65', '103.19']","[32.65096065873742, -14.817340477350227, -0.5233065219497937]","[0.021294939218898183, 0.07799634034766698, 0.005650267900633219, 0.01579610427366993]","['2.47', '6.82', '0.58', '1.63']","['0.93', '0.82', '1.17', '2.72', '2.89']","[13.414634146341475, -29.914529914529915, -56.985294117647065, -5.8823529411764675]"
Adhunik Metalik,1,ADHUNIK,532727,steelspongeiron,"['-7.69', '-6.64', '-9.40', '-9.36', '-0.84', '0.37', '0.36', '0.13', '0.05', '0.07']",[],"['2.71', '30.81', '162.36', '401.00', '423.44', '450.79', '433.07', '381.42', '351.68', '561.93']","[-91.20415449529374, -81.02365114560236, -59.51122194513715, -5.299452106555828, -6.067126599968948, 4.091717274343646, 13.541502805306479, 8.456551410373068, -37.41569234602174]","[-35.03321033210332, -2.663420967218436, -0.7146464646464646, -0.2882044887780548, -0.024489892310598903, 0.01020430799263515, 0.01027547509640474, 0.004273504273504273, 0.001620791628753412, 0.0016194187888171126]","['-94.94', '-82.06', '-116.03', '-115.57', '-10.37', '4.60', '4.45', '1.63', '0.57', '0.91']","['-33.09', '0.02', '0.23', '-0.68', '4.60']",[]
Adi Finechem,1,ADI,530117,chemicals,"['0.45', '2.20', '2.14', '1.80', '3.78', '5.13', '4.37', '3.13', '2.27', '1.14']","[-88.09523809523809, -57.11500974658868, -51.029748283752866, -42.49201277955271, 66.51982378854625, 350.00000000000006]","['37.94', '36.68', '37.01', '33.25', '42.72', '44.05', '39.21', '36.64', '30.66', '29.18']","[3.4351145038167887, -0.8916509051607627, 11.308270676691723, -22.16760299625468, -3.0192962542565227, 12.343789849528171, 7.014192139737991, 19.50424005218526, 5.071967100753943]","[0.016341591987348445, 0.08260632497273718, 0.07970818697649285, 0.07458646616541353, 0.12219101123595505, 0.1459704880817253, 0.14001530221882172, 0.10698689956331878, 0.09262883235485975, 0.089787525702536]","['0.62', '3.03', '2.95', '2.48', '5.22', '6.43', '5.49', '3.92', '2.84', '2.62']","['9.92', '14.90', '7.51', '7.76', '5.33']","[-33.42281879194631, 98.40213049267645, -3.221649484536083, 45.59099437148217]"
Adi Rasayan,1,,531592,dyespigments,"['0.08', '--', '--', '--', '--', '0.01', '--', '--', '--', '--']",[],"['--', '--', '0.02', '--', '--', '--', '--', '--', '--', '0.36']",[-1],[],"['0.06', '0.00', '0.01', '0.01', '0.00', '0.04', '-0.01', '-0.01', '-0.01', '0.03']","['0.03', '--', '--', '--', '--']",[]
Adinath Bio-Lab,1,,590088,aquaculture,"['--', '--', '--', '--', '--', '-0.02', '0.01', '0.01', '0.01', '0.01']",[],"['0.22', '0.45', '0.32', '0.28', '--', '5.78', '9.88', '10.50', '10.43', '10.48']","[-51.11111111111111, 40.625, 14.285714285714276]","[1.0909090909090908, 0.022222222222222223, 0.1875, 0.14285714285714285]","['0.24', '0.01', '0.06', '0.04', '0.05', '-0.38', '0.14', '0.18', '0.20', '0.02']","['--', '0.01', '0.03', '0.03', '0.04']",[]
Adinath Exim,1,,532056,trading,"['0.44', '0.02', '0.09', '0.37', '0.07', '-0.02', '0.07', '0.22', '0.08', '0.01']","[528.5714285714286, 200.0, 28.57142857142855, 68.18181818181817, -12.499999999999993, -300.0]","['0.07', '0.06', '0.07', '0.07', '0.07', '0.03', '0.05', '0.05', '0.05', '0.04']","[16.666666666666682, -14.285714285714295, 0.0, 0.0, 133.33333333333337, -40.00000000000001, 0.0, 0.0, 25.000000000000007]","[2.571428571428571, 0.16666666666666669, 0.5714285714285714, 2.142857142857143, 0.4285714285714285, -0.33333333333333337, 0.6, 1.7999999999999998, 0.6, 0.0]","['0.18', '0.01', '0.04', '0.15', '0.03', '-0.01', '0.03', '0.09', '0.03', '0.00']","['0.56', '0.34', '0.32', '0.37', '0.44']","[64.70588235294117, 6.250000000000005, -13.513513513513512, -15.909090909090912]"
