symbol,low,high,curr
"['Benchmark Mutual Fund - Shariah Benchmark Exchange', 'SHARIABEES', '']",165.0,229.55,197.0
"['Benchmark Mutual Fund-Nifty Junior Benchmark ETF', 'JUNIORBEES', '']",163.65,218.4,203.55
"['Bervin Investment & Leasing Ltd', '', '531340']",12.65,27.0,23.05
"['Beryl Securities Ltd', '', '531582']",5.09,12.8,12.74
"['Best Eastern Hotels Ltd', '', '508664']",21.5,43.6,41.15
"['Betex India Ltd', '', '512477']",83.7,94.55,90.5
"['BGIL Films & Technologies Ltd', '', '511664']",1.66,3.84,3.7
"['Bhagawati Oxygen Ltd', '', '509449']",8.38,37.6,32.4
"['Bhagyanagar Wood Plast Ltd', '', '514442']",13.11,32.65,26.25
"['Bharat Bhushan Share & Commodity Brokers Ltd', '', '511501']",8.85,13.55,11.29
"['Bharat Electronics Ltd', 'BEL', '500049']",1964.0,4160.0,3475.3
"['Bharat Forge Ltd', 'BHARATFORG', '500493']",712.5,1363.0,1178.35
"['Bharat Gears Ltd', 'BHARATGEAR', '505688']",60.05,110.9,91.6
"['Bharat Petroleum Corporation Ltd', 'BPCL', '500547']",597.35,987.0,860.95
"['Bharti Airtel Ltd', 'BHARTIARTL', '532454']",332.5,452.45,362.5
"['Bhartiya International Ltd', 'BIL', '526666']",342.15,597.9,498.95
"['Bhilwara Spinners Ltd', '', '514272']",2.81,7.7,6.18
"['Bhilwara Tex-Fin Ltd', '', '530879']",9.03,31.95,28.9
"['Bio Whitegold Industries Ltd', '', '531250']",5.4,12.25,12.22
"['Biocon Ltd', 'BIOCON', '532523']",395.3,515.0,441.6
"['Biopac India Corporation Ltd', '', '532330']",5.0,14.9,12.35
"['Birla Sun Life Gold ETF', 'BSLGOLDETF', '533408']",2350.0,2792.0,2450.0
"['Birla Sun Life Mutual Fund - Birla Sun Life Nifty ETF - Growth', 'BSLNIFTY', '']",72.3,110.67,101.75
"['Black Rose Industries Ltd', '', '514183']",6.36,33.2,29.05
"['Bloom Dekor Ltd', '', '526225']",13.28,36.65,30.1
"['Blue Blends Finance Ltd', '', '511361']",22.6,27.5,22.6
"['Blue Coast Hotels & Resorts Ltd', 'BLUECOAST', '531495']",50.25,129.2,104.9
"['Blue Dart Express Ltd', 'BLUEDART', '526612']",4296.05,7850.0,6982.6
"['Blue Star Infotech Ltd', 'BLUESTINFO', '532346']",157.6,314.8,276.1
"['Blue Star Ltd', 'BLUESTARCO', '500067']",285.7,394.4,349.9
"['Bombay Swadeshi Stores Ltd', '', '531276']",20.35,162.8,132.0
"['Borosil Glass Works Ltd', 'BOROGLASS', '502219']",1480.0,2989.0,2422.75
"['Bosch Ltd', 'BOSCHLTD', '500530']",14135.25,27990.0,23670.3
"['Brady & Morris Engineering Company Ltd', '', '505690']",42.1,79.8,65.0
"['Brawn Pharmaceuticals Ltd', '', '530207']",4.41,36.4,36.4
"['Britannia Industries Ltd', 'BRITANNIA', '500825']",1228.0,3434.2,2973.8
"['Oswal Chemicals & Fertilizers Ltd', 'BINDALAGRO', '500063']",18.75,61.75,52.55
"['CYIENT', 'CYIENT', '']",418.25,615.0,553.1
"['CRMFGETF', 'CRMFGETF', '']",2362.0,2995.0,2560.0
"['CAPLIPOINT', 'CAPLIPOINT', '']",315.0,1519.9,1383.9
"['CASTROLIND', 'CASTROLIND', '']",346.35,544.0,442.2
"['CNOVAPETRO', 'CNOVAPETRO', '']",14.5,28.35,27.5
"['Cadila Healthcare Ltd', 'CADILAHC', '532321']",1060.9,2044.75,1928.95
"['Cambridge Technology Enterprises Ltd', 'CTE ', '532801']",4.9,61.2,55.7
"['Camlin Ltd', 'CAMLIN', '523207']",51.1,126.4,108.65
"['Can Fin Homes Ltd', 'CANFINHOME', '511196']",345.35,867.0,760.4
"['Canaan International Infotech Ltd', '', '511367']",7.98,14.0,14.0
"['Caplin Point Laboratories Ltd', '', '524742']",315.0,1519.9,1383.9
"['Capman Financials Ltd', '', '511720']",7.44,11.38,9.5
"['Carnation Industries Ltd', '', '530609']",21.15,34.8,32.7
"['Castrol India Ltd', 'CASTROL', '500870']",346.35,544.0,442.2
"['CCL Products India Ltd', 'CCL', '519600']",88.65,254.0,220.35
"['CDR Healthcare Ltd', '', '523353']",2.1,7.58,7.58
"['Ceat Ltd', 'CEATLTD', '500878']",588.6,1185.0,1100.7
"['Century Enka Ltd', 'CENTENKA', '500280']",140.7,256.8,209.45
"['CG Vak Software & Exports Ltd', '', '531489']",11.4,36.7,29.5
"['Chaman Lal Setia Exports Ltd', '', '530307']",56.5,195.9,186.0
"['Chartered Capital & Investment Ltd', '', '511696']",37.5,52.9,43.7
"['Chennai Petroleum Corporation Ltd', 'CHENNPETRO', '500110']",62.25,264.9,232.55
"['Chokhani Business Ltd', '', '507917']",5.05,6.42,6.42
"['Choksi Laboratories Ltd', '', '526546']",7.15,16.8,13.5
"['Cholamandalam Investment & Finance Company Ltd', 'CHOLAFIN', '511243']",400.1,744.0,601.9
"['CIL Nova Petrochemicals Limited', 'CILNOVA', '533407']",14.5,28.35,27.5
"['Cipla Ltd', 'CIPLA', '500087']",506.5,752.85,659.85
"['Citi Port Financial Services Ltd', '', '531235']",5.44,7.87,7.8
"['City Union Bank Ltd', 'CUB', '532210']",75.6,105.55,96.6
"['CMC Ltd', 'CMC', '517326']",1805.1,2407.0,2010.7
"['CMI Ltd', '', '517330']",46.6,203.0,180.0
"['Colgate Palmolive India Ltd', 'COLPAL', '500830']",1522.0,2198.0,1947.0
"['Color Chips India Ltd', 'COLORCHIPS', '532172']",17.0,59.45,52.65
"['Confidence Petroleum India Ltd', '', '526829']",1.66,4.55,3.9
"['Consolidated Finvest & Holdings Ltd', 'CONSOFINVT', '500226']",31.0,68.0,59.9
"['Contech Software Ltd', '', '532397']",2.11,6.21,5.13
"['Contil India Ltd', '', '531067']",3.95,6.23,5.05
"['Control Print India Ltd', '', '522295']",165.55,389.9,328.9
"['Coral Laboratories Ltd', '', '524506']",150.05,603.0,512.0
"['Cosboard Industries Ltd', '', '530859']",6.37,15.52,12.86
"['Cosmo Films Ltd', 'COSMOFILMS', '508814']",73.5,184.7,153.75
"['Cranex Ltd', '', '522001']",3.61,9.28,7.96
"['Cummins India Ltd', 'CUMMINSIND', '500480']",645.25,1247.65,1110.85
"['Cupid Ltd', '', '530843']",20.26,234.9,197.0
"['Cyber Media India Ltd', 'CYBERMEDIA', '532640']",6.6,10.5,9.9
"['DALMIABHA', 'DALMIABHA', '']",355.5,733.0,676.95
"['DCBBANK', 'DCBBANK', '']",78.65,150.9,127.0
"['Dabur India Ltd', 'DABUR', '500096']",196.55,316.4,280.3
"['Dalmia Bharat Enterprises Limited', 'DALMIABEL', '533309']",355.5,733.0,676.95
"['Daulat Securities Ltd', '', '530171']",6.65,11.55,11.0
"['Deccan Cements Ltd', 'DECCANCE', '502137']",297.5,535.0,446.35
"['Deep Industries Ltd', 'DEEPIND', '532760']",45.1,166.7,140.65
"['Development Credit Bank Ltd', 'DCB', '532772']",78.65,150.9,127.0
"['Dhanalaxmi Roto Spinners Ltd', '', '521216']",6.37,17.25,15.84
"['Dhanvantri Jeevan Rekha Ltd', '', '531043']",6.12,21.5,18.0
"['Dharani Finance Ltd', '', '511451']",2.91,6.44,6.44
"['Dhoot Industries Ltd', '', '523862']",1.1,4.56,4.56
"['Dinesh Allorga Ltd', '', '524590']",8.55,21.0,19.1
"['Dish TV India Ltd', 'DISHTV', '532839']",52.15,121.65,103.85
"['Dishman Pharmaceuticals & Chemicals Ltd', 'DISHMAN', '532526']",102.55,233.75,209.95
"['Divis Laboratories Ltd', 'DIVISLAB', '532488']",1550.1,2484.7,2247.75
"['DJS Stock & Shares Ltd', '', '511636']",0.36,1.23,1.17
"['Dr Reddys Laboratories Ltd', 'DRREDDY', '500124']",2867.0,4337.95,4180.75
"['DS Kulkarni Developers Ltd', 'DSKULKARNI', '523890']",67.45,107.25,103.9
"['Duroflex Engineering Ltd', '', '512229']",34.65,91.1,91.1
"['Dynamic Portfolio Management & Services Ltd', '', '530779']",2.16,13.05,13.05
"['Elantas Beck India Ltd', 'DRBECK', '500123']",777.0,1497.5,1270.0
"['LT Overseas Ltd', 'DAAWAT', '532783']",96.5,204.0,173.5
"['eClerx Services Ltd', 'ECLERX', '532927']",1169.95,1806.95,1716.35
"['Ecoplast Ltd', '', '526703']",35.2,71.6,63.6
"['Eicher Motors Ltd', 'EICHERMOT', '505200']",9711.25,21620.0,18919.25
"['EIH Ltd', 'EIHOTEL', '500840']",95.4,130.95,105.05
"['Elango Industries Ltd', '', '513452']",2.36,4.65,4.65
"['Elantas Beck India Ltd', 'DRBECK', '500123']",777.0,1497.5,1270.0
"['EMA India Ltd', '', '522027']",17.0,29.5,24.0
"['Emami Ltd', 'EMAMILTD', '531162']",641.1,1365.0,1188.8
"['Emami Paper Mills Ltd', '', '533208']",33.0,60.0,48.05
"['Emkay Global Financial Services Ltd', 'EMKAY', '532737']",39.45,69.8,57.35
"['Empower Industries India Ltd', '', '504351']",0.21,0.6,0.5
"['Encore Software Ltd', '', '531750']",3.66,7.99,7.1
"['Energy Development Company Ltd', 'ENERGYDEV', '532219']",12.4,28.5,25.65
"['ENKEI WHEELS (INDIA) LTD', '', '533477']",73.15,237.1,191.8
"['Enrich Industries Ltd', '', '531127']",9.01,17.85,16.8
"['Escorts Ltd', 'ESCORTS', '500495']",101.4,179.7,167.2
"['Essel Propack Ltd', 'ESSELPACK', '500135']",96.55,168.4,150.1
"['Ester Industries Ltd', 'ESTER', '500136']",15.3,36.7,33.6
"['Euro Gold Jewellery Ltd', '', '531082']",200.0,231.45,218.85
"['Everlon Synthetics Ltd', '', '514358']",1.29,3.5,2.86
"['Explicit Finance Ltd', '', '530571']",5.7,7.98,6.85
"['FCEL', 'FCEL', '']",8.85,17.75,16.25
"['FVIL', 'FVIL', '']",8.85,17.75,16.25
"['FRLDVR', 'FRLDVR', '']",43.1,115.0,98.5
"['FLEXITUFF', 'FLEXITUFF', '']",176.5,275.0,236.55
"['FAG Bearings India Ltd', 'FAGBEARING', '505790']",2706.6,4920.0,4184.95
"['Fairdeal Filaments Ltd', '', '514474']",18.75,30.25,27.2
"['FDC Ltd', 'FDC', '531599']",138.0,220.05,194.45
"['Filatex India Ltd', 'FILATEX', '526227']",22.5,44.35,39.5
"['Fischer Chemic Ltd', '', '524743']",2.58,4.09,3.4
"['Fortis Healthcare Ltd', 'FORTIS', '532843']",100.25,199.8,173.2
"['Foseco India Ltd', 'FOSECOIND', '500150']",830.2,1549.0,1303.7
"['Frontier Leasing & Finance Ltd', '', '508980']",140.65,148.0,147.0
"['Fulford India Ltd', 'FULFORD', '506803']",1100.0,2365.0,2362.0
"['Future Ventures India Limited', 'FUTUREVENT', '533400']",8.85,17.75,16.25
"['Futuristic Securities Ltd', '', '523113']",6.72,19.2,16.7
"['GULFOILLUB', 'GULFOILLUB', '']",280.0,565.5,498.1
"['GULPOLY', 'GULPOLY', '']",206.0,410.0,361.15
"['Benchmark GoldBees', 'GOLDBEES', '590095']",2075.0,2600.0,2413.3
"['Gabriel India Ltd', 'GABRIEL', '505714']",59.05,106.75,87.95
"['Gallantt Ispat Ltd', 'GALLISPAT', '533265']",344.05,420.0,403.65
"['Gandhi Special Tubes Ltd', 'GANDHITUBE', '513108']",161.35,309.0,273.85
"['Garnet Construction Ltd', '', '526727']",11.0,18.6,15.0
"['Garware Wall Ropes Ltd', 'GARWALLROP', '509557']",152.6,353.0,297.75
"['Gayatri Projects Ltd', 'GAYAPROJ', '532767']",126.15,477.0,439.5
"['GEE Ltd', '', '504028']",20.05,32.95,27.5
"['GHCL Ltd', 'GHCL', '500171']",55.1,141.7,115.7
"['Gillette India Ltd', 'GILLETTE', '507815']",2506.25,5649.0,4871.75
"['GK Consultants Ltd', '', '531758']",18.9,52.75,45.55
"['GlaxoSmithkline Consumer Healthcare Ltd', 'GSKCONS', '500676']",4900.0,6575.0,6264.25
"['GlaxoSmithKline Pharmaceuticals Ltd', 'GLAXO', '500660']",2470.0,3825.0,3393.45
"['Glenmark Pharmaceuticals Ltd', 'GLENMARK', '532296']",676.0,1262.9,1174.75
"['Global Boards Ltd', 'GLOBABOARD', '500159']",49.0,90.0,85.0
"['GM Breweries Ltd', 'GMBREW', '507488']",76.65,416.0,364.4
"['Godfrey Phillips India Ltd', 'GODFRYPHLP', '500163']",416.15,654.0,561.0
"['Godrej Consumer Products Ltd', 'GODREJCP', '532424']",835.15,1459.0,1307.4
"['Godrej Industries Ltd', 'GODREJIND', '500164']",259.46,412.0,369.45
"['Godrej Properties Ltd', 'GODREJPROP', '533150']",220.0,358.5,290.0
"['Golden Carpets Ltd', '', '531928']",2.9,4.25,4.15
"['Goldiam International Ltd', 'GOLDIAM', '526729']",19.75,51.8,45.6
"['Gothi Plascon India Ltd', '', '531111']",4.82,9.35,7.75
"['GR Cables Ltd', '', '517564']",0.3,0.98,0.83
"['Granules India Ltd', 'GRANULES', '532482']",70.72,134.2,121.9
"['Grasim Industries Ltd', 'GRASIM', '500300']",3218.0,4024.85,3449.9
"['Greaves Cotton Ltd', 'GREAVESCOT', '501455']",116.55,159.4,132.1
"['Grenada Investment & Trading Company Ltd', '', '511138']",62.5,90.65,89.5
"['Grindwell Norton Ltd', 'GRINDWELL', '506076']",452.0,799.0,762.25
"['GSL Securities Ltd', '', '530469']",0.58,2.1,1.9
"['Gujarat Containers Ltd', '', '513507']",7.24,10.25,10.0
"['Gujarat Fluorochemicals Ltd', 'GUJFLUORO', '500173']",510.3,816.0,667.75
"['Gujarat Investa Ltd', '', '531341']",4.14,10.45,10.45
"['Gujarat Poly Avx Electronics Ltd', '', '517288']",5.86,11.56,10.1
"['Gujarat State Petronet Ltd', 'GSPL', '532702']",83.45,141.45,121.6
"['Gulshan Polyols Ltd', '', '532457']",206.0,410.0,361.15
"['Gyan Developers & Builders Ltd', '', '530141']",7.04,11.34,9.28
"['HUBTOWN', 'HUBTOWN', '']",85.35,134.45,119.0
"['HATSUN', 'HATSUN', '']",272.05,469.7,402.95
"['Harmony Capital Service Ltd', '', '530055']",5.7,5.96,5.7
"['Hathway Bhawani Cabletel & Datacom Ltd', '', '509073']",7.6,11.85,9.95
"['Hatsun Agro Product Ltd', '', '531531']",272.05,469.7,402.95
"['HCL Technologies Ltd', 'HCLTECH', '532281']",707.5,1058.45,952.2
"['HDFC Bank Ltd', 'HDFCBANK', '500180']",834.0,1128.0,1027.95
"['HDFC Gold ETF', 'HDFCMFGETF', '533230']",2351.05,3003.75,2466.55
"['Heritage Foods India Ltd', 'HERITGFOOD', '519552']",282.9,472.0,387.95
"['Himachal Fibres Ltd', '', '514010']",1.27,29.5,29.45
