symbol,low,high,curr
"['Jubilant Foodworks Ltd', 'JUBLFOOD', '533155']",1175.1,1959.5,1694.1
"['Jubilant Industries Ltd', 'JUBLINDS', '533320']",59.0,302.05,298.95
"['Jubilant Organosys Ltd', 'JUBILANT', '530019']",115.6,372.8,352.05
"['Jupiter Industries & Leasing Ltd', '', '507987']",2.1,4.27,4.27
"['Jyothy Laboratories Ltd', 'JYOTHYLAB', '532926']",219.0,341.5,318.3
"['Jyoti Resins & Adhesives Ltd', '', '514448']",8.03,25.8,25.8
"['KRITIIND', 'KRITIIND', '']",4.85,18.15,14.52
"['KOKUYOCMLN', 'KOKUYOCMLN', '']",51.1,126.4,108.65
"['KOTAKBKETF', 'KOTAKBKETF', '']",169.9,207.0,174.5
"['Kakatiya Textiles Ltd', '', '521054']",2.29,17.3,14.8
"['Kale Consultants Ltd', 'KALECONSUL', '532268']",657.2,1229.8,1014.15
"['Kalpataru Power Transmission Ltd', 'KALPATPOWR', '522287']",128.55,291.8,248.8
"['Kalyani Forge Ltd', 'KALYANIFRG', '513509']",181.0,319.0,258.0
"['Kalyanpur Cements Ltd', '', '502150']",10.45,12.6,10.45
"['Kanpur Plastipack Ltd', '', '507779']",41.0,161.2,136.6
"['KCP Ltd', 'KCP', '590066']",45.8,86.9,70.6
"['KEC International Ltd', 'KEC', '532714']",72.0,160.9,131.95
"['Keerthi Industries Ltd', '', '518011']",13.7,179.7,179.7
"['KEI Industries Ltd', 'KEI', '517569']",29.15,121.4,104.7
"['Kemp & Company Ltd', '', '506530']",290.0,452.0,452.0
"['Kennametal India Ltd', 'WIDIA', '505890']",722.0,973.0,821.0
"['Kerry Jost Engineering Ltd', '', '505285']",89.6,195.7,177.4
"['Kesar Petroproducts Ltd', '', '524174']",16.46,275.2,260.0
"['Kewal Kiran Clothing Ltd', 'KKCL', '532732']",1650.0,2380.0,2165.0
"['Keynote Corporate Services Ltd', 'KEYCORPSER', '512597']",23.95,44.0,38.0
"['KG Petrochem Ltd', '', '531609']",14.0,43.15,37.45
"['Khandwala Securities Ltd', 'KHANDSE', '531892']",14.95,19.35,16.95
"['Kilburn Chemicals Ltd', '', '524699']",14.1,22.35,21.5
"['Kilburn Engineering Ltd', 'KILBUNENGG', '522101']",29.65,68.9,60.0
"['Kirloskar Oil Engines Limited', 'KIRLOSENG', '533293']",236.3,345.05,279.05
"['KNR Constructions Ltd', 'KNRCON', '532942']",216.15,625.0,572.75
"['Kotak Mahindra Bank Ltd', 'KOTAKBANK', '500247']",490.18,744.8,647.45
"['Kotak Sensex ETF', '', '532985']",255.1,309.0,266.0
"['Kovai Medical Center & Hospital Ltd', 'KOVAI', '523323']",308.0,928.25,790.0
"['KPR Mill Ltd', 'KPRMILL', '532889']",241.0,874.0,730.1
"['KRBL Ltd', 'KRBL', '530813']",80.0,200.0,168.05
"['Kriti Industries India Ltd', '', '526423']",4.85,18.15,14.52
"['Kriti Nutrients Ltd', '', '533210']",4.0,13.5,11.6
"['Kumar Wire Cloth Manufacturing Company Ltd', '', '513703']",1.11,20.2,19.8
"['Kunststoffe Industries Ltd', '', '523594']",5.5,14.6,14.0
"['Kwality Dairy India Ltd', 'KWALITY', '531882']",34.75,97.9,78.4
"['KZ Leasing & Finance Ltd', '', '511728']",3.31,8.39,8.27
"['LICNMFET', 'LICNMFET', '']",13.46,14.2,14.09
"['Benchmark Asset Management Company Private Limited', 'LIQUIDBEES', '']",972.0,1025.0,1000.0
"['L&T; Finance Holdings Limited', 'L&TFH;', '533519']",58.1,76.9,64.0
"['La Opala RG Ltd', 'LAOPALA', '526947']",258.0,622.65,577.9
"['La-Mere Apparels Ltd', '', '521222']",4.59,10.6,8.91
"['Lactose India Ltd', '', '524202']",21.85,48.45,40.0
"['Lakshmi Automatic Loom Works Ltd', '', '505302']",18.0,36.15,35.3
"['Lakshmi Mills Company Ltd', 'LAKSHMIMIL', '502958']",1860.0,2810.0,2290.0
"['Larsen & Toubro Ltd', 'LT', '500510']",1401.0,1893.8,1616.45
"['Ledo Tea Company Ltd', '', '508306']",64.1,99.0,84.0
"['Leena Consultancy Ltd', '', '509046']",11.34,13.09,13.09
"['Libord Securities Ltd', '', '531027']",4.87,7.77,7.5
"['LIC Housing Finance Ltd', 'LICHSGFIN', '500253']",299.2,523.95,439.25
"['Liquid Benchmark ETS', '', '590096']",972.0,1025.0,1000.0
"['Lohia Securities Ltd', '', '590082']",77.2,98.0,95.0
"['Lords Chloro Alkali Ltd', 'MODIALKALI', '500284']",12.25,30.6,28.35
"['LT Overseas Ltd', 'DAAWAT', '532783']",96.5,204.0,173.5
"['Ludlow Jute & Specialities Ltd', '', '526179']",18.5,31.0,25.4
"['Lupin Ltd', 'LUPIN', '500257']",1280.0,2115.0,1860.85
"['Lyka Labs Ltd', 'LYKALABS', '500259']",13.15,94.95,79.55
"['MENONBE', 'MENONBE', '']",24.71,63.4,51.45
"['MTEDUCARE', 'MTEDUCARE', '']",96.2,154.75,136.7
"['MOLDTKPAC', 'MOLDTKPAC', '']",162.55,253.8,216.6
"['MAHINDCIE', 'MAHINDCIE', '']",163.3,313.8,278.8
"['Lords Chloro Alkali Ltd', 'MODIALKALI', '500284']",12.25,30.6,28.35
"['Mac Charles India Ltd', '', '507836']",111.0,223.0,193.0
"['Mack Trading Company Ltd', '', '501471']",53.85,73.2,73.2
"['Madhusudan Industries Ltd', 'MADSUDIND', '515059']",5.35,12.55,11.95
"['Madras Cements Ltd', 'MADRASCEM', '500260']",277.0,380.0,322.3
"['Mahalaxmi Rubtech Ltd', '', '514450']",2.54,5.25,4.4
"['Mahanivesh India Ltd', '', '530441']",95.0,580.0,550.0
"['Maharashtra Scooters Ltd', 'MAHSCOOTER', '500266']",742.55,1200.0,1020.65
"['Mahavir Impex Ltd', '', '531664']",0.55,1.15,1.1
"['Mahindra & Mahindra Ltd', 'M&M;', '500520']",1102.0,1442.05,1233.95
"['Mahindra Forgings Ltd', 'MAHINDFORG', '532756']",163.3,313.8,278.8
"['Mahindra Holidays & Resorts India Ltd', 'MHRIL', '533088']",234.05,337.9,293.0
"['Mangalam Drugs & Organics Ltd', 'MANGALAM', '532637']",15.6,97.35,85.35
"['Mapro Industries Ltd', '', '509762']",162.4,493.4,395.9
"['Marathwada Refractories Ltd', '', '502250']",372.0,428.9,380.0
"['Mardia Samyoung Capillary Tubes Company Ltd', '', '513544']",12.0,16.06,16.06
"['Marico Ltd', 'MARICO', '531642']",268.4,467.0,410.7
"['Marigold Glass Industries Ltd', '', '531737']",58.0,69.85,64.8
"['Maruti Suzuki India Ltd', 'MARUTI', '532500']",2761.7,4692.4,4205.85
"['Mathew Easow Research Securities Ltd', '', '511688']",80.5,220.0,204.8
"['Max India Ltd', 'MAX', '500271']",306.3,575.95,504.2
"['McNally Bharat Engineering Company Ltd', 'MBECL', '532629']",64.55,114.0,94.3
"['Mega Fin India Ltd', '', '532105']",9.05,9.07,9.05
"['Mehta Integrated Finance Ltd', '', '511377']",1.83,6.5,5.4
"['Menon Bearings Ltd', '', '523828']",24.71,63.4,51.45
"['Mewar Polytex Ltd', '', '531236']",18.2,34.45,34.45
"['MIC Electronics Ltd', 'MIC', '532850']",3.35,29.5,24.25
"['MindTree Ltd', 'MINDTREE', '532819']",966.6,1590.0,1396.3
"['Mipco Seamless Rings Gujarat Ltd', '', '505797']",2.08,24.95,20.0
"['MM Forgings Ltd', 'MMFL', '522241']",361.0,751.0,624.8
"['Modi Rubber Ltd', 'MODIRUBBER', '500890']",19.05,39.2,35.65
"['Mohit Paper Mills Ltd', '', '530169']",3.12,8.66,7.3
"['Moldtek Plastics Ltd', '', '533080']",162.55,253.8,216.6
"['Monnet Industries Ltd', '', '532078']",20.25,32.0,26.0
"['Morgan Ventures Ltd', '', '526237']",4.38,11.75,11.35
"['Motilal Oswal Financial Services Ltd', 'MOTILALOFS', '532892']",196.2,364.2,314.0
"['Motilal Oswal MOSt Shares NASDAQ - 100 ETF - Growth', 'N100', '533385']",221.0,306.0,272.64
"['Motor & General Finance Ltd', 'MOTOGENFIN', '501343']",34.0,49.9,43.0
"['Mounteverest Trading & Investment Ltd', '', '532724']",40.25,46.9,40.25
"['Mphasis Ltd', 'MPHASIS', '526299']",331.1,463.9,421.6
"['MPIL Corporation Ltd', 'MATHPLATT', '500450']",42.75,75.0,65.9
"['MRF Ltd', 'MRF', '500290']",23953.15,46399.0,40966.35
"['MRO TEK Ltd', 'MRO-TEK', '532376']",7.0,21.4,18.1
"['Mukat Pipes Ltd', 'MUKATPIPE', '523832']",1.42,4.15,3.45
"['Mukesh Steels Ltd', '', '513265']",9.5,33.55,28.55
"['Mukesh Strips Ltd', '', '517374']",5.95,31.0,31.0
"['Multifarious Trading & Agencies Ltd', '', '504392']",557.75,569.0,568.75
"['Mundra Port and Special Economic Zone Ltd', 'MUNDRAPORT', '532921']",244.1,374.8,362.65
"['Munoth Financial Services Ltd', '', '531821']",9.5,11.39,10.75
"['Muthoot Capital Services Ltd', '', '511766']",121.7,151.8,148.9
"['My Fair Lady Ltd', '', '526622']",4.66,11.1,9.24
"['Spicejet Ltd', 'MODILUFT', '500285']",11.25,28.75,24.65
"['United Spirits Ltd', 'MCDOWELL-N', '532432']",2225.0,4082.0,3286.2
"['NAGAROIL', 'NAGAROIL', '']",3.5,6.4,5.15
"['NBCC', 'NBCC', '']",415.25,1214.4,984.5
"['Benchmark Mutual Fund', 'NIFTYBEES', '']",777.0,915.0,810.81
"['Motilal Oswal MOSt Shares NASDAQ - 100 ETF - Growth', 'N100', '533385']",221.0,306.0,272.64
"['Nalin Lease Finance Ltd', '', '531212']",12.8,14.6,14.0
"['Narendra Properties Ltd', '', '531416']",5.21,11.0,10.26
"['Natco Pharma Ltd', 'NATCOPHARM', '524816']",1236.65,2709.85,2273.6
"['National Plastic Industries Ltd', '', '526616']",14.4,46.45,39.2
"['National Plastic Technologies Ltd', '', '531287']",14.0,26.45,24.0
"['Navin Fluorine International Ltd', 'NAVINFLUOR', '532504']",560.1,1439.0,1205.35
"['Navkar Builders Ltd', '', '531494']",10.05,21.4,18.44
"['NCL Industries Ltd', 'NCLIND', '502168']",32.0,113.0,93.95
"['Nectar Lifesciences Ltd', 'NECLIFE', '532649']",27.0,49.4,39.55
"['Nelcast Ltd', 'NELCAST', '532864']",28.25,66.4,56.2
"['Nestle India Ltd', 'NESTLEIND', '500790']",5501.0,7505.0,6104.65
"['Neuland Laboratories Ltd', 'NEULANDLAB', '524558']",306.0,647.9,578.45
"['New Horizon Leasing & Finance Ltd', '', '507918']",45.15,88.3,78.4
"['NG Industries Ltd', '', '530897']",63.55,94.0,75.3
"['NGL Fine Chem Ltd', '', '524774']",39.9,245.5,208.0
"['Nicco Parks & Resorts Ltd', '', '526721']",13.52,50.1,46.2
"['Nifty Junior Benchmark ETF', '', '590104']",163.65,218.4,203.55
"['Nihar Info Global Ltd', '', '531083']",9.48,38.05,31.0
"['NIIT Ltd', 'NIITLTD', '500304']",34.8,86.4,74.5
"['Nilchem Industries Ltd', '', '526905']",2.78,20.15,18.79
"['Nilkamal Ltd', 'NILKAMAL', '523385']",308.15,1173.6,993.65
"['Nirlon Ltd', 'NIRLON', '500307']",124.5,213.9,185.0
"['Nitco Ltd', 'NITCO', '532722']",13.65,39.4,32.3
"['Nivedita Mercantile & Financing Ltd', '', '512381']",36.7,104.05,84.0
"['NovaGold Petro Resources Ltd', '', '531791']",0.33,2.24,1.94
"['Novartis India Ltd', 'NOVARTIND', '500672']",539.95,982.0,799.5
"['NR Agarwal Industries Ltd', '', '516082']",16.05,35.8,30.5
"['Nutech Global Ltd', '', '531304']",11.4,12.21,12.0
"['ORIENTCEM', 'ORIENTCEM', '']",113.25,199.75,166.95
"['Indian Sucrose Ltd', 'OSWALSUG', '500319']",5.9,10.89,9.0
"['Olympia Industries Ltd', '', '521105']",16.0,220.0,178.2
"['Olympic Oil Industries Ltd', '', '507609']",2.39,12.65,12.65
"['OM Metals Infraprojects Ltd', 'OMMETALS', '531092']",24.15,54.65,48.8
"['Omaxe Ltd', 'OMAXE', '532880']",122.3,140.05,133.6
"['Omkar Pharmachem Ltd', '', '532167']",5.01,6.07,6.07
"['Omnitex Industries India Ltd', '', '514324']",8.96,16.7,14.85
"['Online Media Solutions Ltd', '', '532354']",0.6,4.05,4.04
"['Oracle Financial Services Software Ltd', 'OFSS', '532466']",3136.1,4444.0,4059.4
"['Oricon Enterprises Ltd', 'ORIENTCONT', '513121']",40.5,58.9,47.7
"['Orient Abrasives Ltd', 'ORIENTABRA', '504879']",20.55,28.3,27.4
"['Oriental Carbon & Chemicals Ltd', 'ORIENTCARB', '506579']",275.0,675.0,601.0
"['Oriental Veneer Products Ltd', '', '531859']",135.25,650.0,620.0
"['Orissa Sponge Iron & Steel Ltd', '', '504864']",116.0,468.0,389.2
"['Ortin Laboratories Ltd', '', '590074']",7.73,14.35,11.95
"['Oswal Chemicals & Fertilizers Ltd', 'BINDALAGRO', '500063']",18.75,61.75,52.55
"['Oswal Yarns Ltd', '', '514460']",1.33,2.03,1.85
"['Overseas Synthetics Ltd', '', '514330']",17.1,17.9,17.1
"['PANCHSHEEL', 'PANCHSHEEL', '']",22.0,58.4,47.0
"['PANAMAPET', 'PANAMAPET', '']",47.8,84.5,72.75
"['PGEL', 'PGEL', '']",53.5,170.0,147.55
"['PDSMFL', 'PDSMFL', '']",124.0,268.0,236.0
"['PFRL', 'PFRL', '']",102.2,245.0,198.05
"['Page Industries Ltd', 'PAGEIND', '532827']",7101.0,17000.0,14245.65
"['Panama Petrochem Ltd', '', '524820']",47.8,84.5,72.75
"['Panchsheel Organics Ltd', '', '531726']",22.0,58.4,47.0
"['Pankaj Polymers Ltd', '', '531280']",10.08,17.4,14.0
"['Pantaloon Retail India-DVR', '', '570002']",43.1,115.0,98.5
"['Pantaloon Retail India-DVR', 'PRETAILDVR', ' 570002']",43.1,115.0,98.5
"['Panyam Cements & Mineral Industries Ltd', 'PANYAMCEM', '500322']",25.65,71.65,58.2
"['Paper Products Ltd', 'PAPERPROD', '509820']",160.25,331.95,289.15
"['Paramount Cosmetics India Ltd', '', '507970']",25.35,61.2,53.25
"['Parenteral Drugs India Ltd', 'PDPL', '524689']",16.1,34.0,30.2
"['Parker Agrochem Exports Ltd', '', '524628']",5.36,10.51,10.51
"['Parth Alluminium Ltd', '', '513430']",3.5,6.6,5.8
"['PEARL Polymers Ltd', 'PEARLPOLY', '523260']",10.0,20.45,17.15
"['Pee Cee Cosma Sope Ltd', '', '524136']",33.15,61.6,54.0
"['Peeti Securities Ltd', '', '531352']",3.61,4.59,4.18
"['Pfizer Ltd', 'PFIZER', '500680']",1401.6,2522.0,2309.25
"['PG Foils Ltd', '', '526747']",35.2,49.75,41.15
"['PH Capital Ltd', '', '500143']",4.1,15.02,15.02
"['Pharma Com India Ltd', '', '516110']",1.9,5.88,5.88
"['Phoenix Mills Ltd', 'PHOENIXLTD', '503100']",304.6,408.0,338.8
"['PI Drugs & Pharmaceuticals Ltd', '', '512529']",364.0,889.0,830.0
"['PI Industries Ltd', 'PIIND', '523642']",372.9,787.2,699.85
"['Pidilite Industries Ltd', 'PIDILITIND', '500331']",377.5,638.0,567.55
"['Piramal Healthcare Ltd', 'PIRHEALTH', '500302']",664.2,1044.5,932.25
"['Planters Polysacks Ltd', '', '523105']",13.05,422.0,372.9
"['Plastiblends India Ltd', 'PLASTIBLEN', '523648']",192.0,399.5,353.05
"['Poona Dal & Oil Industries Ltd', '', '519359']",14.8,22.8,19.35
"['Power Grid Corporation of India Ltd', 'POWERGRID', '532898']",125.15,159.2,134.6
"['Prabhav Industries Ltd', '', '531855']",0.81,1.92,1.57
"['Precision Pipes & Profiles Company Ltd', 'PPAP', '532934']",78.0,135.0,122.55
"['Precision Wires India Ltd', 'PRECWIRE', '523539']",104.5,166.3,135.0
"['Premier Synthetics Ltd', '', '509835']",9.03,15.61,15.61
"['Pressure Sensitive Systems India Ltd', '', '526773']",5.12,8.05,8.03
"['Prima Plastics Ltd', '', '530589']",23.4,95.0,78.25
"['Prime Focus Ltd', 'PFOCUS', '532748']",35.6,59.5,48.05
"['Prime Textiles Ltd', '', '521149']",2.95,11.4,9.93
"['Prithvi Softech Ltd', 'PRITHVISOF', '531688']",17.25,31.05,26.0
"['Priya Ltd', 'PRIYADYES', '524580']",23.1,48.0,42.0
"['Procter & Gamble Hygiene & Health Care Ltd', 'PGHH', '500459']",4765.0,7449.0,6045.3
"['Promact Plastics Ltd', '', '526494']",1.48,3.2,2.69
"['Prudential ICICI Mutual Fund (SPIcE)', '', '555555']",226.0,336.99,309.0
"['Pudumjee Industries Ltd', 'PDUMJEIND', '516092']",9.15,16.0,13.4
"['Punit Commercials Ltd', '', '512099']",16.65,17.25,17.25
"['PVR Ltd', 'PVR', '532689']",605.0,885.0,833.9
"['Quantum Gold Fund', 'QGOLDHALF', '']",1058.8,1319.95,1205.05
"['Quantum Index Fund -Exchange Traded Fund (ETF)', 'QNIFTY', '590110']",813.2,1040.0,873.0
"['RELNIFTY', 'RELNIFTY', '']",77.0,102.0,83.29
"['RAMCOCEM', 'RAMCOCEM', '']",277.0,380.0,322.3
"['REPCOHOME', 'REPCOHOME', '']",406.0,785.0,701.5
"['RELCNX100', 'RELCNX100', '']",75.6,100.0,84.05
"['RELCONS', 'RELCONS', '']",27.23,41.69,37.0
"['Raasi Refractories Ltd', '', '502271']",4.59,14.22,13.08
"['Radico Khaitan Ltd', 'RADICO', '532497']",75.95,105.0,91.2
"['Raghuvir Synthetics Ltd', '', '514316']",12.0,42.0,39.0
"['Rahul Merchandising Ltd', '', '531887']",6.47,11.36,11.36
"['Raigarh Paper & Board Mills Ltd', '', '530495']",4.4,6.78,6.43
"['Rainbow Foundations Ltd', '', '531694']",12.07,18.65,18.0
"['Rajasthan Tube Manufacturing Company Ltd', '', '530253']",14.0,19.95,18.8
"['Rajdhani Leasing & Industries Ltd', '', '523030']",37.1,49.0,40.75
"['Rajesh Exports Ltd', 'RAJESHEXPO', '531500']",117.5,621.9,517.25
"['Rama Newsprint & Papers Ltd', 'RAMANEWS', '500356']",5.4,15.0,12.75
"['Rama Petrochemicals Ltd', 'RAMAPETRO', '500358']",2.77,9.48,9.48
"['Rama Pulp & Papers Ltd', '', '502587']",5.3,8.89,7.93
"['Ramkrishna Forgings Ltd', 'RKFORGE', '532527']",212.1,781.0,655.9
"['Ramsons Projects Ltd', '', '530925']",14.25,17.2,17.2
"['Rane Brake Lining Ltd', 'RBL', '532987']",255.3,376.95,303.0
"['Rane Holdings Ltd', 'RANEHOLDIN', '505800']",436.0,748.0,636.9
"['Ras Resorts & Apart Hotels Ltd', '', '507966']",22.2,49.4,45.1
"['Relaxo Footwears Ltd', 'RELAXO', '530517']",210.0,614.95,526.0
"['Reliance Industries Ltd', 'RELIANCE', '500325']",796.45,1067.85,872.4
"['Reliance Mutual Fund - Gold Exchange Traded Fund', 'RELGOLD', '']",2200.0,2559.0,2330.0
"['Reliance Mutual Fund -Banking Exchange Traded Fund', 'RELBANK', '']",1607.0,2398.0,2025.0
"['Religare Gold ETF', 'RELIGAREGO', '533172']",2267.0,2781.0,2426.0
"['Religare Nifty Exchange Traded Fund', 'RELGRNIFTY', '']",736.0,899.0,755.0
"['Richirich Agro Ltd', '', '519230']",2.45,5.18,4.18
"['Rishi Packers Ltd', 'RISHIPACK', '523021']",5.4,11.02,9.8
"['Rishiroop Rubber International Ltd', '', '523658']",12.3,24.1,19.5
"['Ritesh International Ltd', '', '519097']",3.41,5.24,4.24
"['Ritesh Properties & Industries Ltd', '', '526407']",5.87,11.26,9.75
"['RJ Shah & Company Ltd', '', '509845']",214.5,320.5,270.55
"['Rockland Thermionics Ltd', '', '530061']",4.0,17.15,17.15
"['Rosebud Commercials Ltd', '', '512161']",281.0,1299.0,1238.5
"['RR Securities Ltd', '', '530917']",2.51,2.77,2.75
"['RTS Power Corporation Ltd', '', '531215']",18.0,36.15,32.0
"['Ruby Mills Ltd', 'RUBYMILLS', '503169']",242.0,494.0,413.1
"['Ruchira Papers Ltd', 'RUCHIRA', '532785']",18.7,50.95,41.7
"['Rushil Decor Ltd', 'RUSHIL', '533470']",41.5,162.9,131.2
"['SANOFI', 'SANOFI', '']",2932.0,4580.0,3975.05
"['SAYAJIHOTL', 'SAYAJIHOTL', '']",110.0,150.6,144.9
"['SIMPLEXCAS', 'SIMPLEXCAS', '']",31.1,53.8,47.2
"['SUNCLAYLTD', 'SUNCLAYLTD', '']",1313.3,2255.4,1945.7
"['STYABS', 'STYABS', '']",550.0,943.9,761.25
"['SWANENERGY', 'SWANENERGY', '']",51.5,70.0,60.05
"['SQSBFSI', 'SQSBFSI', '']",450.05,843.3,713.35
"['SHEMAROO', 'SHEMAROO', '']",144.0,321.85,271.5
"['SDBL', 'SDBL', '']",176.5,246.0,197.0
"['Benchmark Mutual Fund - Shariah Benchmark Exchange', 'SHARIABEES', '']",165.0,229.55,197.0
"['Saboo Brothers Ltd', '', '530267']",8.8,13.12,10.6
"['Sadbhav Engineering Ltd', 'SADBHAV', '532710']",204.35,385.0,311.1
"['Sah Petroleums Ltd', 'SAHPETRO', '532543']",22.25,53.25,43.15
"['Sahil Financial Services Ltd', '', '531203']",22.0,51.6,49.05
"['Sainik Finance & Industries Ltd', '', '530265']",5.64,16.0,15.22
"['Salguti Industries Ltd', '', '526554']",5.58,23.5,20.45
"['Sampre Nutritions Ltd', '', '530617']",7.75,14.5,14.45
"['Sandesh Ltd', 'SANDESH', '526725']",345.05,809.0,649.8
"['Sangam India Ltd', 'SANGAMIND', '514234']",68.05,249.0,226.55
"['Sarda Papers Ltd', '', '516032']",5.83,19.16,18.25
"['Sat Industries Ltd', '', '511076']",1.81,7.03,6.0
"['Savani Financials Ltd', '', '511577']",3.52,5.43,5.25
"['Savera Industries Ltd', 'SAVERA', '512634']",33.5,54.65,44.95
"['Sayaji Hotels Ltd', 'SAYAJHOTEL', '523710']",110.0,150.6,144.9
"['SBI Mutual Fund - SBI Gold Exchange Traded Scheme', 'SBIGETS', '']",2315.0,2999.0,2445.2
"['Scenario Media Ltd', '', '505590']",11.4,27.4,26.85
"['Seahorse Hospitals Ltd', '', '524520']",1.98,4.23,3.66
"['Seshachal Technologies Ltd', '', '531794']",1.33,3.03,2.5
"['Shah Foods Ltd', '', '519031']",25.6,61.0,61.0
"['Shaily Engineering Plastics Ltd', '', '501423']",47.0,488.0,403.8
"['Shalibhadra Finance Ltd', '', '511754']",26.05,70.0,64.6
"['Sharad Fibres & Yarn Processors Ltd', '', '514402']",8.38,9.72,9.4
"['Shasun Chemicals & Drugs Ltd', 'SHASUNPHAR', '524552']",175.0,415.5,363.85
"['Sheetal Diamonds Ltd', '', '530525']",2.99,5.97,5.7
"['Shekhawati Poly-Yarn Limited', 'SPYL', '533301']",0.75,2.8,2.4
"['Shilp Gravures Ltd', '', '513709']",39.35,81.4,66.05
"['Shipping Corporation of India Ltd', 'SCI', '523598']",43.65,84.8,69.05
"['Shivagrico Implements Ltd', '', '522237']",11.85,16.49,13.9
"['Shivam Autotech Ltd', 'SHIVAMAUTO', '532776']",52.42,169.4,147.15
"['Shree Cement Ltd', 'SHREECEM', '500387']",7815.0,12249.0,11014.55
"['Shree Om Trades Ltd', '', '506180']",123.4,131.0,123.4
"['Shree Pacetronix Ltd', '', '527005']",12.03,25.2,21.85
"['Shri Chlochem Ltd', '', '524640']",8.57,23.9,23.9
"['Shri Ganesh Spinners Ltd', '', '531693']",0.05,0.34,0.31
"['Shriram Asset Management Company Ltd', '', '531359']",19.55,32.35,27.5
"['Sical Logistics Ltd', 'SICAL', '520086']",91.0,203.35,168.55
"['Siemens Ltd', 'SIEMENS', '500550']",768.8,1559.7,1280.1
"['Silver Oak India Ltd', '', '531635']",16.3,21.65,17.7
"['Simmonds Marshall Ltd', '', '507998']",37.5,106.4,87.95
"['Simplex Castings Ltd', '', '513472']",31.1,53.8,47.2
"['SIP Industries Ltd', '', '523164']",3.8,4.0,3.8
"['Sita Enterprises Ltd', '', '512589']",6.75,14.62,13.89
"['SJVN Ltd', 'SJVN', '533206']",21.9,27.35,23.9
"['Smartlink Network Systems Ltd', 'SMARTLINK', '532419']",55.0,128.65,103.3
"['Softbpo Global Services Ltd', '', '504375']",106.0,116.55,111.0
"['Softech Infinium Solutions Ltd', '', '530651']",2.32,6.11,5.05
"['Solar Industries India Ltd', 'SOLARINDS', '532725']",2020.0,4301.05,3501.65
"['Solitaire Machine Tools Ltd', '', '522152']",11.0,20.3,17.0
"['Som Datt Finance Corporation Ltd', 'SOMDUTTFIN', '511571']",4.21,7.7,6.96
"['Som Distilleries & Breweries Ltd', '', '507514']",176.5,246.0,197.0
"['Sona Koyo Steering Systems Ltd', 'SONASTEER', '520057']",42.8,74.5,63.0
"['South India Paper Mills Ltd', '', '516108']",50.25,107.4,89.0
"['Span Diagnostics Ltd', '', '524727']",38.3,68.0,59.95
"['Spenta International Ltd', '', '526161']",23.05,76.7,73.0
"['Spicejet Ltd', 'MODILUFT', '500285']",11.25,28.75,24.65
"['SPS International Ltd', '', '530177']",2.6,5.75,4.69
"['SR Industries Ltd', '', '513515']",3.77,8.34,8.0
"['SRF Ltd', 'SRF', '503806']",645.2,1498.85,1199.35
"['SRF Polymers Ltd', '', '532468']",680.0,1499.0,1254.5
"['Sri Adhikari Brothers Television Network Ltd', 'SABTN', '530943']",119.45,324.8,288.35
"['Sri Ramakrishna Mills Coimbatore Ltd', '', '521178']",13.3,21.94,21.94
"['Standard Capital Markets Ltd', '', '511700']",2.77,3.04,3.03
"['Stanpacks India Ltd', '', '530931']",3.53,7.33,7.33
"['Star Leasing Ltd', '', '508922']",29.95,185.0,149.5
"['Starchik Specialities Ltd', '', '519455']",3.16,9.04,8.0
"['Starvox Electronics Ltd', '', '517172']",0.0,9.15,9.15
"['Steel Strips Infrastructures Ltd', '', '513173']",2.81,9.0,9.0
"['Steel Strips Wheels Ltd', 'SSWL', '513262']",253.6,396.0,331.15
"['Sterling Holiday Resorts India Ltd', 'STERLINHOL', '523363']",145.0,279.4,250.3
"['Sterlite Projects Ltd', '', '506971']",3.22,13.3,11.07
"['STI India Ltd', 'STINDIA', '513151']",6.25,10.6,9.6
"['Stovec Industries Limited', '', '504959']",720.0,1993.0,1650.0
"['Stresscrete India Ltd', '', '531444']",13.65,16.5,13.65
"['Strides Arcolab Ltd', 'STAR', '532531']",625.0,1374.1,1191.35
"['Suave Hotels Ltd', '', '531373']",147.25,181.5,163.65
"['Subway Finance & Investment Company Ltd', '', '511024']",1.53,5.11,5.11
"['Suncity Synthetics Ltd', '', '530795']",4.0,10.96,9.41
"['Sundaram Clayton Ltd', 'SUNCLAYTON', '520056']",1313.3,2255.4,1945.7
"['Sundaram Finance Ltd', 'SUNDARMFIN', '590071']",910.2,1640.0,1465.15
"['Sunil Agro Foods Ltd', '', '530953']",13.07,28.65,24.95
"['Sunil Industries Ltd', '', '521232']",12.05,27.05,27.05
"['Sunshield Chemicals Ltd', '', '530845']",185.05,658.0,538.0
"['Super Bakers India Ltd', '', '530735']",6.0,15.0,13.21
"['Supertex Industries Ltd', '', '526133']",1.65,3.4,2.8
"['Suprajit Engineering Ltd', 'SUPRAJIT', '532509']",110.75,171.0,139.3
"['Supreme Industries Ltd', 'SUPREMEIND', '509930']",570.1,746.8,599.55
"['Supreme Petrochem Ltd', 'SUPPETRO', '500405']",63.1,136.1,109.2
"['Suraj Products Ltd', '', '518075']",11.4,23.0,19.0
"['Suryanagri Finlease Ltd', '', '530867']",37.3,103.1,100.0
"['Suryodaya Investment & Trading Company Ltd', '', '501178']",0.0,5.14,5.14
"['Svaraj Trading & Agencies Ltd', '', '503624']",155.15,197.5,180.5
